Production_ID,Product_ID,Warehouse_ID,Production_Line,Start_Date,Planned_End_Date,Actual_End_Date,Planned_Quantity,Actual_Quantity,Status,Efficiency_Pct,On_Time
PRO00074,PRD0019,WH003,Line A,2025-07-21,2025-07-25,2025-07-24,466,458,Completed,98.3,Yes
PRO00075,PRD0062,WH006,Line D,2025-08-15,2025-08-22,,806,0,In Progress,0.0,No
PRO00076,PRD0094,WH006,Line D,2025-04-11,2025-04-16,,364,0,On Hold,0.0,No
PRO00077,PRD0069,WH007,Line D,2025-04-25,2025-05-05,,90,0,In Progress,0.0,No
PRO00078,PRD0042,WH006,Line A,2026-02-27,2026-03-01,2026-03-04,969,833,Completed,86.0,No
PRO00079,PRD0025,WH003,Line B,2026-02-06,2026-02-08,2026-02-13,608,599,Completed,98.5,No
PRO00080,PRD0041,WH006,Line B,2026-02-02,2026-02-06,,111,0,Planned,0.0,No
PRO00081,PRD0089,WH007,Line D,2025-04-26,2025-05-04,2025-05-07,712,644,Completed,90.4,No
PRO00082,PRD0030,WH005,Line D,2025-09-25,2025-09-26,2025-09-30,358,311,Completed,86.9,No
PRO00083,PRD0025,WH006,Line C,2026-02-15,2026-03-01,2026-03-03,397,384,Completed,96.7,No
PRO00084,PRD0078,WH001,Line B,2025-04-23,2025-05-05,,808,0,In Progress,0.0,No
PRO00085,PRD0084,WH008,Line D,2025-09-14,2025-09-22,2025-09-24,522,494,Completed,94.6,No
PRO00086,PRD0071,WH005,Line D,2025-05-23,2025-05-29,2025-05-27,415,392,Completed,94.5,Yes
PRO00087,PRD0044,WH001,Line D,2025-12-10,2025-12-21,2025-12-20,960,956,Completed,99.6,Yes
PRO00088,PRD0045,WH007,Line B,2025-05-19,2025-05-28,2025-05-30,335,287,Completed,85.7,No
PRO00089,PRD0097,WH006,Line C,2025-04-20,2025-05-02,,895,0,In Progress,0.0,No
PRO00090,PRD0095,WH001,Line C,2026-01-23,2026-02-05,,666,0,Planned,0.0,No
PRO00091,PRD0030,WH006,Line B,2025-08-27,2025-08-30,2025-09-01,286,262,Completed,91.6,No
PRO00092,PRD0068,WH001,Line A,2026-02-11,2026-02-18,,488,0,In Progress,0.0,No
PRO00093,PRD0053,WH006,Line D,2025-04-01,2025-04-06,2025-04-10,854,853,Completed,99.9,No
PRO00094,PRD0016,WH003,Line B,2026-02-25,2026-02-27,2026-02-26,466,400,Completed,85.8,Yes
PRO00095,PRD0076,WH008,Line D,2025-08-06,2025-08-18,,784,0,In Progress,0.0,No
PRO00096,PRD0036,WH007,Line C,2025-12-31,2026-01-11,2026-01-13,893,818,Completed,91.6,No
PRO00097,PRD0096,WH007,Line C,2025-08-29,2025-09-08,,498,0,In Progress,0.0,No
PRO00098,PRD0100,WH005,Line D,2025-12-15,2025-12-21,,178,0,On Hold,0.0,No
PRO00099,PRD0100,WH005,Line A,2025-10-13,2025-10-17,,298,0,On Hold,0.0,No
PRO00100,PRD0083,WH001,Line A,2025-05-10,2025-05-21,,899,0,Planned,0.0,No
PRO00101,PRD0095,WH008,Line C,2025-10-05,2025-10-11,,557,0,In Progress,0.0,No
PRO00102,PRD0054,WH003,Line C,2026-02-12,2026-02-26,2026-02-25,889,784,Completed,88.2,Yes
PRO00103,PRD0002,WH006,Line C,2025-04-25,2025-04-30,,835,0,On Hold,0.0,No
PRO00104,PRD0098,WH003,Line D,2025-09-04,2025-09-10,,498,0,On Hold,0.0,No
PRO00105,PRD0052,WH006,Line A,2025-04-18,2025-04-29,2025-05-04,665,643,Completed,96.7,No
PRO00106,PRD0058,WH007,Line A,2025-05-26,2025-06-03,,707,0,In Progress,0.0,No
PRO00107,PRD0018,WH001,Line A,2025-06-04,2025-06-18,2025-06-21,395,393,Completed,99.5,No
PRO00108,PRD0004,WH001,Line C,2025-07-15,2025-07-16,2025-07-21,250,216,Completed,86.4,No
PRO00109,PRD0078,WH006,Line B,2025-08-20,2025-08-22,2025-08-27,226,224,Completed,99.1,No
PRO00110,PRD0015,WH002,Line C,2025-04-19,2025-04-21,,237,0,On Hold,0.0,No
PRO00111,PRD0011,WH005,Line B,2026-02-28,2026-03-07,,757,0,In Progress,0.0,No
PRO00112,PRD0086,WH001,Line B,2025-11-27,2025-12-02,2025-12-05,424,382,Completed,90.1,No
PRO00113,PRD0095,WH005,Line C,2025-08-21,2025-08-27,2025-09-01,530,473,Completed,89.2,No
PRO00114,PRD0039,WH004,Line C,2026-01-04,2026-01-11,2026-01-11,995,942,Completed,94.7,Yes
PRO00115,PRD0095,WH003,Line B,2026-01-08,2026-01-11,,326,0,On Hold,0.0,No
PRO00116,PRD0053,WH006,Line B,2025-11-06,2025-11-14,2025-11-14,567,545,Completed,96.1,Yes
PRO00117,PRD0066,WH006,Line A,2025-11-09,2025-11-10,2025-11-10,102,90,Completed,88.2,Yes
PRO00118,PRD0026,WH003,Line D,2025-11-23,2025-11-30,2025-12-04,92,84,Completed,91.3,No
PRO00119,PRD0027,WH003,Line A,2026-02-16,2026-02-22,2026-02-20,898,881,Completed,98.1,Yes
PRO00120,PRD0068,WH002,Line D,2025-11-16,2025-11-28,2025-12-03,479,410,Completed,85.6,No
PRO00121,PRD0086,WH006,Line A,2025-08-08,2025-08-16,2025-08-21,224,202,Completed,90.2,No
PRO00122,PRD0054,WH004,Line C,2025-09-25,2025-10-05,2025-10-05,170,163,Completed,95.9,Yes
PRO00123,PRD0098,WH007,Line B,2025-04-29,2025-05-06,,909,0,On Hold,0.0,No
PRO00124,PRD0025,WH008,Line D,2025-12-18,2025-12-31,2025-12-29,433,415,Completed,95.8,Yes
PRO00125,PRD0099,WH007,Line D,2025-06-30,2025-07-12,2025-07-10,456,448,Completed,98.2,Yes
PRO00126,PRD0094,WH005,Line C,2025-04-01,2025-04-12,2025-04-15,987,919,Completed,93.1,No
PRO00127,PRD0065,WH004,Line B,2025-04-27,2025-05-02,,409,0,On Hold,0.0,No
PRO00128,PRD0025,WH006,Line C,2025-04-29,2025-05-03,,306,0,In Progress,0.0,No
PRO00129,PRD0089,WH005,Line B,2026-01-23,2026-01-25,2026-01-23,869,742,Completed,85.4,Yes
PRO00130,PRD0038,WH003,Line D,2025-05-30,2025-05-31,,633,0,Planned,0.0,No
PRO00131,PRD0020,WH004,Line A,2025-12-22,2025-12-30,,814,0,In Progress,0.0,No
PRO00132,PRD0019,WH003,Line B,2025-10-10,2025-10-15,2025-10-19,197,174,Completed,88.3,No
PRO00133,PRD0048,WH008,Line D,2025-08-15,2025-08-17,2025-08-16,763,758,Completed,99.3,Yes
PRO00134,PRD0093,WH004,Line B,2025-04-11,2025-04-17,2025-04-21,534,501,Completed,93.8,No
PRO00135,PRD0033,WH007,Line C,2025-03-18,2025-03-28,,78,0,In Progress,0.0,No
PRO00136,PRD0072,WH001,Line B,2025-07-29,2025-08-07,,412,0,In Progress,0.0,No
PRO00137,PRD0074,WH006,Line B,2025-08-23,2025-08-25,2025-08-26,326,321,Completed,98.5,No
PRO00138,PRD0072,WH007,Line A,2026-01-13,2026-01-14,,896,0,In Progress,0.0,No
PRO00139,PRD0091,WH001,Line D,2025-06-14,2025-06-19,2025-06-18,858,817,Completed,95.2,Yes
PRO00140,PRD0042,WH002,Line C,2025-07-30,2025-08-07,2025-08-07,196,183,Completed,93.4,Yes
PRO00141,PRD0004,WH001,Line C,2026-01-29,2026-02-08,,941,0,Planned,0.0,No
PRO00142,PRD0075,WH007,Line D,2026-02-08,2026-02-17,,247,0,Planned,0.0,No
PRO00143,PRD0094,WH002,Line A,2026-02-24,2026-03-04,2026-03-04,603,578,Completed,95.9,Yes
PRO00144,PRD0056,WH003,Line D,2026-02-15,2026-02-17,,842,0,In Progress,0.0,No
PRO00145,PRD0040,WH001,Line D,2026-01-28,2026-02-09,,532,0,On Hold,0.0,No
PRO00146,PRD0014,WH002,Line A,2025-09-08,2025-09-12,,831,0,Planned,0.0,No
PRO00147,PRD0060,WH006,Line C,2026-02-17,2026-02-19,2026-02-18,875,770,Completed,88.0,Yes
PRO00148,PRD0082,WH005,Line B,2025-03-28,2025-03-31,,644,0,On Hold,0.0,No
PRO00149,PRD0076,WH003,Line C,2025-06-28,2025-07-02,,277,0,Planned,0.0,No
PRO00150,PRD0064,WH005,Line A,2025-04-07,2025-04-10,2025-04-11,526,486,Completed,92.4,No
PRO00151,PRD0049,WH008,Line B,2025-07-28,2025-08-02,2025-07-31,457,433,Completed,94.7,Yes
PRO00152,PRD0092,WH001,Line A,2025-11-16,2025-11-21,2025-11-25,612,543,Completed,88.7,No
PRO00153,PRD0045,WH001,Line C,2026-01-13,2026-01-18,2026-01-18,478,413,Completed,86.4,Yes
PRO00154,PRD0083,WH005,Line B,2025-05-01,2025-05-07,,368,0,On Hold,0.0,No
PRO00155,PRD0050,WH006,Line B,2026-01-12,2026-01-20,,303,0,Planned,0.0,No
PRO00156,PRD0097,WH001,Line D,2026-02-09,2026-02-20,,634,0,Planned,0.0,No
PRO00157,PRD0047,WH008,Line D,2025-05-12,2025-05-13,2025-05-12,959,942,Completed,98.2,Yes
PRO00158,PRD0020,WH005,Line A,2025-05-05,2025-05-07,,444,0,On Hold,0.0,No
PRO00159,PRD0044,WH007,Line D,2025-04-18,2025-04-23,,735,0,In Progress,0.0,No
PRO00160,PRD0074,WH004,Line C,2026-01-16,2026-01-18,2026-01-18,675,660,Completed,97.8,Yes
PRO00161,PRD0100,WH004,Line C,2025-08-20,2025-08-25,2025-08-24,651,626,Completed,96.2,Yes
PRO00162,PRD0018,WH008,Line A,2025-08-08,2025-08-12,,526,0,In Progress,0.0,No
PRO00163,PRD0064,WH007,Line D,2026-02-27,2026-03-02,,726,0,Planned,0.0,No
PRO00164,PRD0028,WH008,Line D,2025-11-03,2025-11-11,2025-11-14,60,52,Completed,86.7,No
PRO00165,PRD0048,WH001,Line C,2025-05-11,2025-05-24,2025-05-25,511,497,Completed,97.3,No
PRO00166,PRD0029,WH007,Line C,2025-05-30,2025-06-06,,324,0,On Hold,0.0,No
PRO00167,PRD0094,WH008,Line C,2025-09-26,2025-10-09,,59,0,In Progress,0.0,No
PRO00168,PRD0045,WH008,Line A,2025-12-13,2025-12-22,2025-12-21,137,128,Completed,93.4,Yes
PRO00169,PRD0007,WH005,Line B,2025-09-30,2025-10-07,2025-10-11,799,707,Completed,88.5,No
PRO00170,PRD0047,WH005,Line A,2025-07-28,2025-08-08,,546,0,In Progress,0.0,No
PRO00171,PRD0032,WH008,Line C,2025-11-13,2025-11-26,2025-11-25,883,815,Completed,92.3,Yes
PRO00172,PRD0084,WH003,Line D,2025-12-15,2025-12-17,2025-12-20,667,638,Completed,95.7,No
PRO00173,PRD0090,WH008,Line D,2025-11-18,2025-11-21,,129,0,Planned,0.0,No
PRO00174,PRD0078,WH003,Line B,2026-02-20,2026-03-02,2026-03-02,831,724,Completed,87.1,Yes
PRO00175,PRD0049,WH007,Line C,2026-02-11,2026-02-17,2026-02-19,122,113,Completed,92.6,No
PRO00176,PRD0091,WH007,Line A,2026-02-12,2026-02-25,,449,0,In Progress,0.0,No
PRO00177,PRD0004,WH001,Line D,2026-03-08,2026-03-16,,433,0,In Progress,0.0,No
PRO00178,PRD0055,WH003,Line C,2025-03-12,2025-03-15,2025-03-17,933,920,Completed,98.6,No
PRO00179,PRD0086,WH006,Line B,2025-09-22,2025-10-06,,969,0,Planned,0.0,No
PRO00180,PRD0049,WH001,Line D,2025-07-26,2025-08-02,,64,0,In Progress,0.0,No
PRO00181,PRD0055,WH002,Line B,2025-04-13,2025-04-23,,271,0,Planned,0.0,No
PRO00182,PRD0027,WH005,Line B,2025-03-23,2025-04-03,2025-04-01,576,506,Completed,87.8,Yes
PRO00183,PRD0031,WH005,Line D,2025-03-24,2025-04-01,,273,0,Planned,0.0,No
PRO00184,PRD0055,WH003,Line C,2025-11-24,2025-12-08,,165,0,On Hold,0.0,No
PRO00185,PRD0002,WH002,Line B,2025-09-30,2025-10-14,,640,0,On Hold,0.0,No
PRO00186,PRD0066,WH006,Line D,2025-06-10,2025-06-24,,474,0,In Progress,0.0,No
PRO00187,PRD0028,WH002,Line A,2026-02-13,2026-02-20,,580,0,On Hold,0.0,No
PRO00188,PRD0013,WH005,Line C,2025-06-25,2025-07-04,2025-07-09,652,590,Completed,90.5,No
PRO00189,PRD0080,WH007,Line B,2026-01-09,2026-01-13,2026-01-11,100,87,Completed,87.0,Yes
PRO00190,PRD0003,WH004,Line D,2025-09-17,2025-09-25,2025-09-23,680,598,Completed,87.9,Yes
PRO00191,PRD0097,WH007,Line B,2025-04-28,2025-05-09,2025-05-11,531,520,Completed,97.9,No
PRO00192,PRD0049,WH001,Line A,2025-07-22,2025-07-31,2025-08-01,966,853,Completed,88.3,No
PRO00193,PRD0034,WH001,Line C,2026-01-19,2026-01-24,2026-01-23,271,263,Completed,97.0,Yes
PRO00194,PRD0078,WH001,Line B,2025-04-14,2025-04-22,2025-04-27,897,838,Completed,93.4,No
PRO00195,PRD0014,WH003,Line C,2025-12-15,2025-12-26,2025-12-30,791,755,Completed,95.4,No
PRO00196,PRD0056,WH005,Line C,2025-11-14,2025-11-28,,385,0,Planned,0.0,No
PRO00197,PRD0091,WH003,Line D,2025-08-09,2025-08-12,,892,0,In Progress,0.0,No
PRO00198,PRD0040,WH003,Line B,2026-02-02,2026-02-14,2026-02-15,796,763,Completed,95.9,No
PRO00199,PRD0030,WH003,Line B,2025-12-30,2026-01-06,,637,0,On Hold,0.0,No
PRO00200,PRD0048,WH005,Line A,2025-05-19,2025-05-22,2025-05-20,745,685,Completed,91.9,Yes
PRO00201,PRD0100,WH002,Line C,2025-09-09,2025-09-22,,898,0,Planned,0.0,No
PRO00202,PRD0074,WH008,Line D,2025-05-22,2025-06-01,,157,0,Planned,0.0,No
PRO00203,PRD0075,WH005,Line A,2025-04-17,2025-04-19,,563,0,On Hold,0.0,No
PRO00204,PRD0035,WH002,Line A,2025-12-13,2025-12-23,,888,0,Planned,0.0,No
PRO00205,PRD0084,WH008,Line A,2025-10-02,2025-10-12,,624,0,Planned,0.0,No
PRO00206,PRD0049,WH008,Line B,2025-04-24,2025-04-29,2025-04-30,286,260,Completed,90.9,No
PRO00207,PRD0069,WH005,Line B,2025-09-27,2025-10-05,2025-10-07,846,757,Completed,89.5,No
PRO00208,PRD0072,WH008,Line C,2025-08-12,2025-08-15,,418,0,In Progress,0.0,No
PRO00209,PRD0020,WH002,Line B,2025-07-31,2025-08-03,,550,0,In Progress,0.0,No
PRO00210,PRD0014,WH005,Line B,2025-11-18,2025-12-01,2025-12-06,233,204,Completed,87.6,No
PRO00211,PRD0088,WH004,Line A,2025-12-21,2025-12-23,2025-12-26,293,255,Completed,87.0,No
PRO00212,PRD0038,WH006,Line B,2026-02-18,2026-03-03,2026-03-07,683,669,Completed,98.0,No
PRO00213,PRD0080,WH001,Line A,2025-10-09,2025-10-22,2025-10-27,309,279,Completed,90.3,No
PRO00214,PRD0024,WH004,Line C,2025-12-11,2025-12-23,,454,0,On Hold,0.0,No
PRO00215,PRD0043,WH008,Line A,2025-09-28,2025-10-12,,849,0,On Hold,0.0,No
PRO00216,PRD0024,WH004,Line C,2025-09-09,2025-09-16,2025-09-20,227,219,Completed,96.5,No
PRO00217,PRD0006,WH002,Line C,2025-03-30,2025-04-13,,852,0,Planned,0.0,No
PRO00218,PRD0052,WH005,Line A,2025-06-29,2025-07-01,2025-07-02,645,589,Completed,91.3,No
PRO00219,PRD0036,WH008,Line D,2026-01-15,2026-01-27,2026-02-01,381,372,Completed,97.6,No
PRO00220,PRD0001,WH006,Line D,2025-10-15,2025-10-22,,362,0,On Hold,0.0,No
PRO00221,PRD0023,WH003,Line A,2025-11-28,2025-11-30,,145,0,On Hold,0.0,No
PRO00222,PRD0072,WH003,Line A,2026-01-06,2026-01-10,2026-01-08,514,448,Completed,87.2,Yes
PRO00223,PRD0015,WH008,Line C,2026-02-13,2026-02-23,,139,0,On Hold,0.0,No
PRO00224,PRD0003,WH006,Line D,2026-01-09,2026-01-16,2026-01-19,931,798,Completed,85.7,No
PRO00225,PRD0074,WH005,Line C,2026-03-11,2026-03-15,,644,0,In Progress,0.0,No
PRO00226,PRD0098,WH004,Line D,2025-04-13,2025-04-26,2025-04-30,519,509,Completed,98.1,No
PRO00227,PRD0047,WH001,Line A,2025-11-03,2025-11-14,2025-11-17,684,644,Completed,94.2,No
PRO00228,PRD0030,WH008,Line D,2025-07-31,2025-08-10,,894,0,In Progress,0.0,No
PRO00229,PRD0002,WH005,Line A,2026-01-24,2026-02-03,,465,0,In Progress,0.0,No
PRO00230,PRD0073,WH008,Line C,2025-07-20,2025-08-01,2025-08-01,252,228,Completed,90.5,Yes
PRO00231,PRD0080,WH001,Line C,2025-04-18,2025-04-28,,637,0,On Hold,0.0,No
PRO00232,PRD0058,WH006,Line A,2025-07-30,2025-08-10,2025-08-12,290,266,Completed,91.7,No
PRO00233,PRD0092,WH002,Line B,2026-01-17,2026-01-29,2026-01-30,958,911,Completed,95.1,No
PRO00234,PRD0087,WH003,Line D,2025-06-17,2025-06-22,,156,0,Planned,0.0,No
PRO00235,PRD0084,WH003,Line A,2025-03-31,2025-04-03,,252,0,In Progress,0.0,No
PRO00236,PRD0078,WH003,Line C,2026-02-27,2026-03-07,,530,0,In Progress,0.0,No
PRO00237,PRD0030,WH001,Line B,2025-11-17,2025-11-29,2025-11-29,235,204,Completed,86.8,Yes
PRO00238,PRD0097,WH005,Line D,2025-12-06,2025-12-17,2025-12-17,711,615,Completed,86.5,Yes
PRO00239,PRD0015,WH005,Line A,2025-09-02,2025-09-06,,144,0,Planned,0.0,No
PRO00240,PRD0002,WH008,Line C,2025-03-25,2025-03-29,2025-04-03,258,223,Completed,86.4,No
PRO00241,PRD0073,WH003,Line B,2025-12-07,2025-12-09,2025-12-09,655,647,Completed,98.8,Yes
PRO00242,PRD0076,WH004,Line A,2025-04-26,2025-05-08,,384,0,Planned,0.0,No
PRO00243,PRD0032,WH008,Line B,2025-11-12,2025-11-21,,260,0,On Hold,0.0,No
PRO00244,PRD0071,WH006,Line A,2025-12-21,2025-12-24,,153,0,In Progress,0.0,No
PRO00245,PRD0045,WH002,Line A,2025-11-10,2025-11-15,2025-11-16,803,797,Completed,99.3,No
PRO00246,PRD0094,WH007,Line C,2026-02-15,2026-02-19,2026-02-23,799,703,Completed,88.0,No
PRO00247,PRD0008,WH001,Line A,2025-07-22,2025-07-26,2025-07-31,129,121,Completed,93.8,No
PRO00248,PRD0074,WH005,Line D,2025-08-13,2025-08-20,2025-08-21,827,746,Completed,90.2,No
PRO00249,PRD0088,WH001,Line B,2025-11-23,2025-12-04,2025-12-07,942,837,Completed,88.9,No
PRO00250,PRD0004,WH006,Line B,2026-02-13,2026-02-17,,698,0,On Hold,0.0,No
PRO00251,PRD0010,WH008,Line B,2026-01-23,2026-01-29,2026-01-28,546,529,Completed,96.9,Yes
PRO00252,PRD0075,WH003,Line A,2025-04-30,2025-05-12,,200,0,On Hold,0.0,No
PRO00253,PRD0041,WH006,Line C,2025-10-24,2025-10-31,,186,0,Planned,0.0,No
PRO00254,PRD0047,WH003,Line A,2025-10-25,2025-10-31,,754,0,Planned,0.0,No
PRO00255,PRD0075,WH001,Line C,2025-07-27,2025-07-30,,360,0,Planned,0.0,No
PRO00256,PRD0007,WH004,Line A,2025-10-24,2025-11-01,2025-11-05,636,631,Completed,99.2,No
PRO00257,PRD0090,WH002,Line A,2025-11-17,2025-11-30,,729,0,Planned,0.0,No
PRO00258,PRD0090,WH002,Line C,2026-02-18,2026-02-25,,230,0,On Hold,0.0,No
PRO00259,PRD0058,WH003,Line B,2025-07-21,2025-07-26,,669,0,Planned,0.0,No
PRO00260,PRD0020,WH005,Line C,2025-09-27,2025-09-29,2025-10-02,304,291,Completed,95.7,No
PRO00261,PRD0098,WH003,Line D,2025-05-27,2025-05-29,2025-05-30,992,920,Completed,92.7,No
