Inventory_ID,Product_ID,Warehouse_ID,Stock_Quantity,Reorder_Point,Safety_Stock,Stock_Status,Last_Updated,Unit_Cost,Total_Value
INV00115,PRD0019,WH007,367,40,12,Normal,2026-02-21,2174.08,797887.36
INV00116,PRD0019,WH008,398,40,12,Normal,2026-03-05,2174.08,865283.84
INV00117,PRD0020,WH002,473,33,18,Normal,2026-02-28,1027.3,485912.9
INV00118,PRD0020,WH003,988,33,18,Normal,2026-03-09,1027.3,1014972.4
INV00119,PRD0020,WH004,729,33,18,Normal,2026-02-22,1027.3,748901.7
INV00120,PRD0020,WH005,56,33,18,Normal,2026-03-05,1027.3,57528.8
INV00121,PRD0020,WH006,859,33,18,Normal,2026-02-27,1027.3,882450.7
INV00122,PRD0020,WH007,110,33,18,Normal,2026-02-20,1027.3,113003.0
INV00123,PRD0021,WH001,372,45,46,Normal,2026-03-08,2012.98,748828.56
INV00124,PRD0021,WH002,913,45,46,Normal,2026-02-11,2012.98,1837850.74
INV00125,PRD0021,WH003,894,45,46,Normal,2026-03-04,2012.98,1799604.12
INV00126,PRD0021,WH004,746,45,46,Normal,2026-03-07,2012.98,1501683.08
INV00127,PRD0021,WH005,646,45,46,Normal,2026-02-22,2012.98,1300385.08
INV00128,PRD0021,WH006,646,45,46,Normal,2026-02-18,2012.98,1300385.08
INV00129,PRD0021,WH008,953,45,46,Normal,2026-02-17,2012.98,1918369.94
INV00130,PRD0022,WH002,908,81,12,Normal,2026-02-26,225.82,205044.56
INV00131,PRD0022,WH004,324,81,12,Normal,2026-03-06,225.82,73165.68
INV00132,PRD0022,WH005,557,81,12,Normal,2026-02-10,225.82,125781.74
INV00133,PRD0022,WH006,471,81,12,Normal,2026-02-22,225.82,106361.22
INV00134,PRD0022,WH007,62,81,12,Low,2026-03-07,225.82,14000.84
INV00135,PRD0022,WH008,305,81,12,Normal,2026-02-17,225.82,68875.1
INV00136,PRD0023,WH001,598,50,5,Normal,2026-02-15,49.91,29846.18
INV00137,PRD0023,WH002,37,50,5,Low,2026-02-21,49.91,1846.67
INV00138,PRD0023,WH003,186,50,5,Normal,2026-03-08,49.91,9283.26
INV00139,PRD0023,WH004,942,50,5,Normal,2026-03-09,49.91,47015.22
INV00140,PRD0023,WH005,623,50,5,Normal,2026-02-13,49.91,31093.93
INV00141,PRD0023,WH006,952,50,5,Normal,2026-02-15,49.91,47514.32
INV00142,PRD0024,WH001,997,68,25,Normal,2026-02-25,1188.96,1185393.12
INV00143,PRD0024,WH002,489,68,25,Normal,2026-03-06,1188.96,581401.44
INV00144,PRD0024,WH004,587,68,25,Normal,2026-02-20,1188.96,697919.52
INV00145,PRD0024,WH006,845,68,25,Normal,2026-02-25,1188.96,1004671.2
INV00146,PRD0024,WH008,400,68,25,Normal,2026-02-25,1188.96,475584.0
INV00147,PRD0025,WH001,199,30,47,Normal,2026-02-17,996.98,198399.02
INV00148,PRD0025,WH002,268,30,47,Normal,2026-02-12,996.98,267190.64
INV00149,PRD0025,WH003,160,30,47,Normal,2026-03-02,996.98,159516.8
INV00150,PRD0025,WH005,558,30,47,Normal,2026-02-16,996.98,556314.84
INV00151,PRD0025,WH006,294,30,47,Normal,2026-03-10,996.98,293112.12
INV00152,PRD0025,WH008,85,30,47,Normal,2026-02-11,996.98,84743.3
INV00153,PRD0026,WH001,759,24,8,Normal,2026-02-14,2873.06,2180652.54
INV00154,PRD0026,WH002,69,24,8,Normal,2026-02-17,2873.06,198241.14
INV00155,PRD0026,WH003,176,24,8,Normal,2026-02-26,2873.06,505658.56
INV00156,PRD0026,WH004,661,24,8,Normal,2026-03-07,2873.06,1899092.66
INV00157,PRD0026,WH005,739,24,8,Normal,2026-02-16,2873.06,2123191.34
INV00158,PRD0026,WH006,815,24,8,Normal,2026-03-05,2873.06,2341543.9
INV00159,PRD0026,WH007,87,24,8,Normal,2026-02-21,2873.06,249956.22
INV00160,PRD0026,WH008,682,24,8,Normal,2026-02-17,2873.06,1959426.92
INV00161,PRD0027,WH001,373,40,40,Normal,2026-03-01,1718.7,641075.1
INV00162,PRD0027,WH002,614,40,40,Normal,2026-02-28,1718.7,1055281.8
INV00163,PRD0027,WH005,904,40,40,Normal,2026-03-05,1718.7,1553704.8
INV00164,PRD0027,WH007,569,40,40,Normal,2026-02-18,1718.7,977940.3
INV00165,PRD0027,WH008,26,40,40,Critical,2026-02-25,1718.7,44686.2
INV00166,PRD0028,WH001,919,10,11,Normal,2026-02-13,2119.03,1947388.57
INV00167,PRD0028,WH002,5,10,11,Critical,2026-02-13,2119.03,10595.15
INV00168,PRD0028,WH003,154,10,11,Normal,2026-02-22,2119.03,326330.62
INV00169,PRD0028,WH004,560,10,11,Normal,2026-02-15,2119.03,1186656.8
INV00170,PRD0028,WH005,730,10,11,Normal,2026-02-13,2119.03,1546891.9
INV00171,PRD0028,WH007,816,10,11,Normal,2026-02-26,2119.03,1729128.48
INV00172,PRD0029,WH001,556,70,37,Normal,2026-02-16,626.39,348272.84
INV00173,PRD0029,WH002,539,70,37,Normal,2026-02-20,626.39,337624.21
INV00174,PRD0029,WH003,106,70,37,Normal,2026-03-07,626.39,66397.34
INV00175,PRD0029,WH004,915,70,37,Normal,2026-02-16,626.39,573146.85
INV00176,PRD0029,WH006,612,70,37,Normal,2026-03-09,626.39,383350.68
INV00177,PRD0029,WH007,307,70,37,Normal,2026-02-21,626.39,192301.73
INV00178,PRD0029,WH008,160,70,37,Normal,2026-03-09,626.39,100222.4
INV00179,PRD0030,WH001,680,26,30,Normal,2026-02-17,2713.26,1845016.8
INV00180,PRD0030,WH002,755,26,30,Normal,2026-02-22,2713.26,2048511.3
INV00181,PRD0030,WH003,422,26,30,Normal,2026-02-19,2713.26,1144995.72
INV00182,PRD0030,WH005,34,26,30,Normal,2026-02-17,2713.26,92250.84
INV00183,PRD0030,WH006,154,26,30,Normal,2026-02-21,2713.26,417842.04
INV00184,PRD0030,WH007,251,26,30,Normal,2026-02-13,2713.26,681028.26
INV00185,PRD0031,WH002,563,63,16,Normal,2026-03-09,1424.24,801847.12
INV00186,PRD0031,WH003,743,63,16,Normal,2026-02-20,1424.24,1058210.32
INV00187,PRD0031,WH004,538,63,16,Normal,2026-02-24,1424.24,766241.12
INV00188,PRD0031,WH005,957,63,16,Normal,2026-03-10,1424.24,1362997.68
INV00189,PRD0031,WH006,323,63,16,Normal,2026-02-16,1424.24,460029.52
INV00190,PRD0031,WH007,317,63,16,Normal,2026-02-12,1424.24,451484.08
INV00191,PRD0031,WH008,964,63,16,Normal,2026-02-10,1424.24,1372967.36
INV00192,PRD0032,WH001,26,71,7,Low,2026-02-14,936.72,24354.72
INV00193,PRD0032,WH002,346,71,7,Normal,2026-02-26,936.72,324105.12
INV00194,PRD0032,WH003,666,71,7,Normal,2026-02-21,936.72,623855.52
INV00195,PRD0032,WH005,111,71,7,Normal,2026-02-26,936.72,103975.92
INV00196,PRD0032,WH007,569,71,7,Normal,2026-02-15,936.72,532993.68
INV00197,PRD0032,WH008,843,71,7,Normal,2026-02-22,936.72,789654.96
INV00198,PRD0033,WH001,608,11,47,Normal,2026-03-09,1454.58,884384.64
INV00199,PRD0033,WH002,989,11,47,Normal,2026-02-13,1454.58,1438579.62
INV00200,PRD0033,WH004,81,11,47,Normal,2026-02-22,1454.58,117820.98
INV00201,PRD0033,WH005,457,11,47,Normal,2026-03-01,1454.58,664743.06
INV00202,PRD0033,WH006,790,11,47,Normal,2026-03-03,1454.58,1149118.2
INV00203,PRD0033,WH007,977,11,47,Normal,2026-02-17,1454.58,1421124.66
INV00204,PRD0033,WH008,198,11,47,Normal,2026-02-13,1454.58,288006.84
INV00205,PRD0034,WH001,804,26,38,Normal,2026-03-06,536.19,431096.76
INV00206,PRD0034,WH002,397,26,38,Normal,2026-03-05,536.19,212867.43
INV00207,PRD0034,WH003,248,26,38,Normal,2026-02-21,536.19,132975.12
INV00208,PRD0034,WH004,239,26,38,Normal,2026-02-28,536.19,128149.41
INV00209,PRD0034,WH005,454,26,38,Normal,2026-02-19,536.19,243430.26
INV00210,PRD0034,WH006,761,26,38,Normal,2026-03-04,536.19,408040.59
INV00211,PRD0034,WH007,997,26,38,Normal,2026-02-24,536.19,534581.43
INV00212,PRD0035,WH001,591,29,47,Normal,2026-02-26,127.11,75122.01
INV00213,PRD0035,WH002,151,29,47,Normal,2026-02-28,127.11,19193.61
INV00214,PRD0035,WH004,709,29,47,Normal,2026-03-04,127.11,90120.99
INV00215,PRD0035,WH005,913,29,47,Normal,2026-02-18,127.11,116051.43
INV00216,PRD0035,WH008,353,29,47,Normal,2026-03-05,127.11,44869.83
INV00217,PRD0036,WH004,654,31,25,Normal,2026-02-27,57.3,37474.2
INV00218,PRD0036,WH005,295,31,25,Normal,2026-03-04,57.3,16903.5
INV00219,PRD0036,WH006,51,31,25,Normal,2026-03-08,57.3,2922.3
INV00220,PRD0036,WH007,168,31,25,Normal,2026-02-13,57.3,9626.4
INV00221,PRD0037,WH002,648,30,24,Normal,2026-03-09,69.93,45314.64
INV00222,PRD0037,WH004,769,30,24,Normal,2026-02-19,69.93,53776.17
INV00223,PRD0037,WH005,639,30,24,Normal,2026-02-13,69.93,44685.27
INV00224,PRD0037,WH006,930,30,24,Normal,2026-02-14,69.93,65034.9
INV00225,PRD0037,WH007,437,30,24,Normal,2026-02-16,69.93,30559.41
INV00226,PRD0038,WH002,601,42,13,Normal,2026-03-03,1297.98,780085.98
INV00227,PRD0038,WH003,241,42,13,Normal,2026-03-09,1297.98,312813.18
INV00228,PRD0038,WH004,419,42,13,Normal,2026-02-19,1297.98,543853.62
INV00229,PRD0038,WH005,585,42,13,Normal,2026-02-25,1297.98,759318.3
INV00230,PRD0038,WH006,759,42,13,Normal,2026-02-20,1297.98,985166.82
INV00231,PRD0038,WH007,594,42,13,Normal,2026-03-01,1297.98,771000.12
INV00232,PRD0039,WH001,449,70,32,Normal,2026-03-02,1471.23,660582.27
INV00233,PRD0039,WH002,496,70,32,Normal,2026-02-22,1471.23,729730.08
INV00234,PRD0039,WH003,237,70,32,Normal,2026-02-19,1471.23,348681.51
INV00235,PRD0039,WH004,373,70,32,Normal,2026-03-03,1471.23,548768.79
INV00236,PRD0039,WH006,541,70,32,Normal,2026-02-22,1471.23,795935.43
INV00237,PRD0039,WH007,536,70,32,Normal,2026-03-09,1471.23,788579.28
INV00238,PRD0039,WH008,306,70,32,Normal,2026-03-01,1471.23,450196.38
INV00239,PRD0040,WH001,609,61,31,Normal,2026-03-09,1520.0,925680.0
INV00240,PRD0040,WH002,354,61,31,Normal,2026-02-23,1520.0,538080.0
INV00241,PRD0040,WH003,893,61,31,Normal,2026-02-20,1520.0,1357360.0
INV00242,PRD0040,WH004,119,61,31,Normal,2026-03-05,1520.0,180880.0
INV00243,PRD0040,WH006,626,61,31,Normal,2026-03-07,1520.0,951520.0
INV00244,PRD0040,WH007,982,61,31,Normal,2026-02-17,1520.0,1492640.0
INV00245,PRD0041,WH001,740,20,50,Normal,2026-03-08,1652.87,1223123.8
INV00246,PRD0041,WH002,399,20,50,Normal,2026-02-22,1652.87,659495.13
INV00247,PRD0041,WH004,864,20,50,Normal,2026-03-05,1652.87,1428079.68
INV00248,PRD0041,WH005,185,20,50,Normal,2026-03-11,1652.87,305780.95
INV00249,PRD0041,WH006,256,20,50,Normal,2026-02-14,1652.87,423134.72
INV00250,PRD0041,WH007,494,20,50,Normal,2026-03-03,1652.87,816517.78
INV00251,PRD0042,WH001,161,66,9,Normal,2026-03-07,1556.28,250561.08
INV00252,PRD0042,WH005,378,66,9,Normal,2026-02-11,1556.28,588273.84
INV00253,PRD0042,WH006,834,66,9,Normal,2026-02-10,1556.28,1297937.52
INV00254,PRD0042,WH008,635,66,9,Normal,2026-02-23,1556.28,988237.8
INV00255,PRD0043,WH002,576,47,23,Normal,2026-03-08,1744.63,1004906.88
INV00256,PRD0043,WH003,480,47,23,Normal,2026-03-07,1744.63,837422.4
INV00257,PRD0043,WH004,504,47,23,Normal,2026-02-26,1744.63,879293.52
INV00258,PRD0043,WH005,684,47,23,Normal,2026-02-26,1744.63,1193326.92
INV00259,PRD0043,WH006,996,47,23,Normal,2026-03-01,1744.63,1737651.48
INV00260,PRD0043,WH008,833,47,23,Normal,2026-03-11,1744.63,1453276.79
INV00261,PRD0044,WH001,654,14,49,Normal,2026-03-11,1525.07,997395.78
INV00262,PRD0044,WH002,940,14,49,Normal,2026-03-10,1525.07,1433565.8
INV00263,PRD0044,WH004,327,14,49,Normal,2026-02-22,1525.07,498697.89
INV00264,PRD0044,WH006,448,14,49,Normal,2026-03-05,1525.07,683231.36
INV00265,PRD0044,WH008,373,14,49,Normal,2026-02-12,1525.07,568851.11
INV00266,PRD0045,WH002,580,73,19,Normal,2026-02-11,1391.77,807226.6
INV00267,PRD0045,WH005,189,73,19,Normal,2026-03-05,1391.77,263044.53
INV00268,PRD0045,WH008,890,73,19,Normal,2026-02-17,1391.77,1238675.3
INV00269,PRD0046,WH001,137,85,24,Normal,2026-03-09,1508.0,206596.0
INV00270,PRD0046,WH004,932,85,24,Normal,2026-02-28,1508.0,1405456.0
INV00271,PRD0046,WH006,416,85,24,Normal,2026-03-05,1508.0,627328.0
INV00272,PRD0046,WH007,207,85,24,Normal,2026-02-11,1508.0,312156.0
INV00273,PRD0046,WH008,810,85,24,Normal,2026-03-09,1508.0,1221480.0
INV00274,PRD0047,WH002,627,26,45,Normal,2026-03-11,1216.29,762613.83
INV00275,PRD0047,WH003,321,26,45,Normal,2026-02-28,1216.29,390429.09
INV00276,PRD0047,WH004,840,26,45,Normal,2026-02-14,1216.29,1021683.6
INV00277,PRD0047,WH005,554,26,45,Normal,2026-02-20,1216.29,673824.66
INV00278,PRD0047,WH007,830,26,45,Normal,2026-02-14,1216.29,1009520.7
INV00279,PRD0048,WH002,608,11,24,Normal,2026-02-16,2618.68,1592157.44
INV00280,PRD0048,WH003,0,11,24,Critical,2026-03-03,2618.68,0.0
INV00281,PRD0048,WH004,573,11,24,Normal,2026-02-21,2618.68,1500503.64
INV00282,PRD0048,WH005,644,11,24,Normal,2026-02-18,2618.68,1686429.92
INV00283,PRD0048,WH006,481,11,24,Normal,2026-03-04,2618.68,1259585.08
INV00284,PRD0048,WH007,880,11,24,Normal,2026-02-16,2618.68,2304438.4
INV00285,PRD0048,WH008,796,11,24,Normal,2026-02-14,2618.68,2084469.28
INV00286,PRD0049,WH001,487,26,30,Normal,2026-02-19,1141.55,555934.85
INV00287,PRD0049,WH002,476,26,30,Normal,2026-02-19,1141.55,543377.8
INV00288,PRD0049,WH003,435,26,30,Normal,2026-02-23,1141.55,496574.25
INV00289,PRD0049,WH005,480,26,30,Normal,2026-02-13,1141.55,547944.0
INV00290,PRD0049,WH006,594,26,30,Normal,2026-02-19,1141.55,678080.7
INV00291,PRD0049,WH007,527,26,30,Normal,2026-03-02,1141.55,601596.85
INV00292,PRD0049,WH008,888,26,30,Normal,2026-02-13,1141.55,1013696.4
INV00293,PRD0050,WH001,394,33,12,Normal,2026-03-10,909.75,358441.5
INV00294,PRD0050,WH002,582,33,12,Normal,2026-03-09,909.75,529474.5
INV00295,PRD0050,WH003,583,33,12,Normal,2026-03-02,909.75,530384.25
INV00296,PRD0050,WH004,515,33,12,Normal,2026-02-15,909.75,468521.25
INV00297,PRD0050,WH005,952,33,12,Normal,2026-03-05,909.75,866082.0
INV00298,PRD0050,WH006,11,33,12,Critical,2026-02-28,909.75,10007.25
INV00299,PRD0050,WH007,772,33,12,Normal,2026-02-23,909.75,702327.0
INV00300,PRD0051,WH001,284,49,24,Normal,2026-02-26,1685.98,478818.32
INV00301,PRD0051,WH002,677,49,24,Normal,2026-02-12,1685.98,1141408.46
INV00302,PRD0051,WH004,615,49,24,Normal,2026-02-23,1685.98,1036877.7
INV00303,PRD0051,WH005,967,49,24,Normal,2026-02-12,1685.98,1630342.66
INV00304,PRD0051,WH006,996,49,24,Normal,2026-02-14,1685.98,1679236.08
INV00305,PRD0051,WH007,994,49,24,Normal,2026-02-25,1685.98,1675864.12
INV00306,PRD0051,WH008,27,49,24,Low,2026-02-12,1685.98,45521.46
INV00307,PRD0052,WH001,17,55,16,Low,2026-03-11,1853.67,31512.39
INV00308,PRD0052,WH002,626,55,16,Normal,2026-02-14,1853.67,1160397.42
INV00309,PRD0052,WH005,414,55,16,Normal,2026-02-19,1853.67,767419.38
INV00310,PRD0052,WH006,459,55,16,Normal,2026-02-12,1853.67,850834.53
INV00311,PRD0052,WH007,353,55,16,Normal,2026-03-07,1853.67,654345.51
INV00312,PRD0053,WH002,311,68,24,Normal,2026-02-16,1661.97,516872.67
INV00313,PRD0053,WH003,755,68,24,Normal,2026-02-10,1661.97,1254787.35
INV00314,PRD0053,WH004,511,68,24,Normal,2026-03-01,1661.97,849266.67
INV00315,PRD0053,WH006,327,68,24,Normal,2026-02-28,1661.97,543464.19
INV00316,PRD0053,WH008,789,68,24,Normal,2026-03-09,1661.97,1311294.33
INV00317,PRD0054,WH001,968,94,45,Normal,2026-03-10,1829.56,1771014.08
INV00318,PRD0054,WH002,168,94,45,Normal,2026-03-11,1829.56,307366.08
INV00319,PRD0054,WH004,566,94,45,Normal,2026-02-21,1829.56,1035530.96
INV00320,PRD0054,WH006,805,94,45,Normal,2026-02-11,1829.56,1472795.8
INV00321,PRD0054,WH007,566,94,45,Normal,2026-02-21,1829.56,1035530.96
INV00322,PRD0054,WH008,35,94,45,Critical,2026-02-22,1829.56,64034.6
INV00323,PRD0055,WH001,687,14,46,Normal,2026-02-20,1387.13,952958.31
INV00324,PRD0055,WH002,7,14,46,Critical,2026-03-11,1387.13,9709.91
INV00325,PRD0055,WH003,728,14,46,Normal,2026-02-24,1387.13,1009830.64
INV00326,PRD0055,WH004,205,14,46,Normal,2026-03-10,1387.13,284361.65
INV00327,PRD0055,WH005,825,14,46,Normal,2026-02-24,1387.13,1144382.25
INV00328,PRD0055,WH008,633,14,46,Normal,2026-02-15,1387.13,878053.29
INV00329,PRD0056,WH001,145,59,27,Normal,2026-02-10,1257.83,182385.35
INV00330,PRD0056,WH002,222,59,27,Normal,2026-03-09,1257.83,279238.26
