Date,Day,Month,Month_Name,Month_Short,Quarter,Quarter_No,Year,Year_Month,Week_No,Day_Name,Day_of_Week,Is_Weekend,Financial_Year
2024-03-11,11,3,March,Mar,Q1,1,2024,2024-03,11,Monday,1,No,FY2023
2024-03-12,12,3,March,Mar,Q1,1,2024,2024-03,11,Tuesday,2,No,FY2023
2024-03-13,13,3,March,Mar,Q1,1,2024,2024-03,11,Wednesday,3,No,FY2023
2024-03-14,14,3,March,Mar,Q1,1,2024,2024-03,11,Thursday,4,No,FY2023
2024-03-15,15,3,March,Mar,Q1,1,2024,2024-03,11,Friday,5,No,FY2023
2024-03-16,16,3,March,Mar,Q1,1,2024,2024-03,11,Saturday,6,Yes,FY2023
2024-03-17,17,3,March,Mar,Q1,1,2024,2024-03,11,Sunday,7,Yes,FY2023
2024-03-18,18,3,March,Mar,Q1,1,2024,2024-03,12,Monday,1,No,FY2023
2024-03-19,19,3,March,Mar,Q1,1,2024,2024-03,12,Tuesday,2,No,FY2023
2024-03-20,20,3,March,Mar,Q1,1,2024,2024-03,12,Wednesday,3,No,FY2023
2024-03-21,21,3,March,Mar,Q1,1,2024,2024-03,12,Thursday,4,No,FY2023
2024-03-22,22,3,March,Mar,Q1,1,2024,2024-03,12,Friday,5,No,FY2023
2024-03-23,23,3,March,Mar,Q1,1,2024,2024-03,12,Saturday,6,Yes,FY2023
2024-03-24,24,3,March,Mar,Q1,1,2024,2024-03,12,Sunday,7,Yes,FY2023
2024-03-25,25,3,March,Mar,Q1,1,2024,2024-03,13,Monday,1,No,FY2023
2024-03-26,26,3,March,Mar,Q1,1,2024,2024-03,13,Tuesday,2,No,FY2023
2024-03-27,27,3,March,Mar,Q1,1,2024,2024-03,13,Wednesday,3,No,FY2023
2024-03-28,28,3,March,Mar,Q1,1,2024,2024-03,13,Thursday,4,No,FY2023
2024-03-29,29,3,March,Mar,Q1,1,2024,2024-03,13,Friday,5,No,FY2023
2024-03-30,30,3,March,Mar,Q1,1,2024,2024-03,13,Saturday,6,Yes,FY2023
2024-03-31,31,3,March,Mar,Q1,1,2024,2024-03,13,Sunday,7,Yes,FY2023
2024-04-01,1,4,April,Apr,Q2,2,2024,2024-04,14,Monday,1,No,FY2024
2024-04-02,2,4,April,Apr,Q2,2,2024,2024-04,14,Tuesday,2,No,FY2024
2024-04-03,3,4,April,Apr,Q2,2,2024,2024-04,14,Wednesday,3,No,FY2024
2024-04-04,4,4,April,Apr,Q2,2,2024,2024-04,14,Thursday,4,No,FY2024
2024-04-05,5,4,April,Apr,Q2,2,2024,2024-04,14,Friday,5,No,FY2024
2024-04-06,6,4,April,Apr,Q2,2,2024,2024-04,14,Saturday,6,Yes,FY2024
2024-04-07,7,4,April,Apr,Q2,2,2024,2024-04,14,Sunday,7,Yes,FY2024
2024-04-08,8,4,April,Apr,Q2,2,2024,2024-04,15,Monday,1,No,FY2024
2024-04-09,9,4,April,Apr,Q2,2,2024,2024-04,15,Tuesday,2,No,FY2024
2024-04-10,10,4,April,Apr,Q2,2,2024,2024-04,15,Wednesday,3,No,FY2024
2024-04-11,11,4,April,Apr,Q2,2,2024,2024-04,15,Thursday,4,No,FY2024
2024-04-12,12,4,April,Apr,Q2,2,2024,2024-04,15,Friday,5,No,FY2024
2024-04-13,13,4,April,Apr,Q2,2,2024,2024-04,15,Saturday,6,Yes,FY2024
2024-04-14,14,4,April,Apr,Q2,2,2024,2024-04,15,Sunday,7,Yes,FY2024
2024-04-15,15,4,April,Apr,Q2,2,2024,2024-04,16,Monday,1,No,FY2024
2024-04-16,16,4,April,Apr,Q2,2,2024,2024-04,16,Tuesday,2,No,FY2024
2024-04-17,17,4,April,Apr,Q2,2,2024,2024-04,16,Wednesday,3,No,FY2024
2024-04-18,18,4,April,Apr,Q2,2,2024,2024-04,16,Thursday,4,No,FY2024
2024-04-19,19,4,April,Apr,Q2,2,2024,2024-04,16,Friday,5,No,FY2024
2024-04-20,20,4,April,Apr,Q2,2,2024,2024-04,16,Saturday,6,Yes,FY2024
2024-04-21,21,4,April,Apr,Q2,2,2024,2024-04,16,Sunday,7,Yes,FY2024
2024-04-22,22,4,April,Apr,Q2,2,2024,2024-04,17,Monday,1,No,FY2024
2024-04-23,23,4,April,Apr,Q2,2,2024,2024-04,17,Tuesday,2,No,FY2024
2024-04-24,24,4,April,Apr,Q2,2,2024,2024-04,17,Wednesday,3,No,FY2024
2024-04-25,25,4,April,Apr,Q2,2,2024,2024-04,17,Thursday,4,No,FY2024
2024-04-26,26,4,April,Apr,Q2,2,2024,2024-04,17,Friday,5,No,FY2024
2024-04-27,27,4,April,Apr,Q2,2,2024,2024-04,17,Saturday,6,Yes,FY2024
2024-04-28,28,4,April,Apr,Q2,2,2024,2024-04,17,Sunday,7,Yes,FY2024
2024-04-29,29,4,April,Apr,Q2,2,2024,2024-04,18,Monday,1,No,FY2024
2024-04-30,30,4,April,Apr,Q2,2,2024,2024-04,18,Tuesday,2,No,FY2024
2024-05-01,1,5,May,May,Q2,2,2024,2024-05,18,Wednesday,3,No,FY2024
2024-05-02,2,5,May,May,Q2,2,2024,2024-05,18,Thursday,4,No,FY2024
2024-05-03,3,5,May,May,Q2,2,2024,2024-05,18,Friday,5,No,FY2024
2024-05-04,4,5,May,May,Q2,2,2024,2024-05,18,Saturday,6,Yes,FY2024
2024-05-05,5,5,May,May,Q2,2,2024,2024-05,18,Sunday,7,Yes,FY2024
2024-05-06,6,5,May,May,Q2,2,2024,2024-05,19,Monday,1,No,FY2024
2024-05-07,7,5,May,May,Q2,2,2024,2024-05,19,Tuesday,2,No,FY2024
2024-05-08,8,5,May,May,Q2,2,2024,2024-05,19,Wednesday,3,No,FY2024
2024-05-09,9,5,May,May,Q2,2,2024,2024-05,19,Thursday,4,No,FY2024
2024-05-10,10,5,May,May,Q2,2,2024,2024-05,19,Friday,5,No,FY2024
2024-05-11,11,5,May,May,Q2,2,2024,2024-05,19,Saturday,6,Yes,FY2024
2024-05-12,12,5,May,May,Q2,2,2024,2024-05,19,Sunday,7,Yes,FY2024
2024-05-13,13,5,May,May,Q2,2,2024,2024-05,20,Monday,1,No,FY2024
2024-05-14,14,5,May,May,Q2,2,2024,2024-05,20,Tuesday,2,No,FY2024
2024-05-15,15,5,May,May,Q2,2,2024,2024-05,20,Wednesday,3,No,FY2024
2024-05-16,16,5,May,May,Q2,2,2024,2024-05,20,Thursday,4,No,FY2024
2024-05-17,17,5,May,May,Q2,2,2024,2024-05,20,Friday,5,No,FY2024
2024-05-18,18,5,May,May,Q2,2,2024,2024-05,20,Saturday,6,Yes,FY2024
2024-05-19,19,5,May,May,Q2,2,2024,2024-05,20,Sunday,7,Yes,FY2024
2024-05-20,20,5,May,May,Q2,2,2024,2024-05,21,Monday,1,No,FY2024
2024-05-21,21,5,May,May,Q2,2,2024,2024-05,21,Tuesday,2,No,FY2024
2024-05-22,22,5,May,May,Q2,2,2024,2024-05,21,Wednesday,3,No,FY2024
2024-05-23,23,5,May,May,Q2,2,2024,2024-05,21,Thursday,4,No,FY2024
2024-05-24,24,5,May,May,Q2,2,2024,2024-05,21,Friday,5,No,FY2024
2024-05-25,25,5,May,May,Q2,2,2024,2024-05,21,Saturday,6,Yes,FY2024
2024-05-26,26,5,May,May,Q2,2,2024,2024-05,21,Sunday,7,Yes,FY2024
2024-05-27,27,5,May,May,Q2,2,2024,2024-05,22,Monday,1,No,FY2024
2024-05-28,28,5,May,May,Q2,2,2024,2024-05,22,Tuesday,2,No,FY2024
2024-05-29,29,5,May,May,Q2,2,2024,2024-05,22,Wednesday,3,No,FY2024
2024-05-30,30,5,May,May,Q2,2,2024,2024-05,22,Thursday,4,No,FY2024
2024-05-31,31,5,May,May,Q2,2,2024,2024-05,22,Friday,5,No,FY2024
2024-06-01,1,6,June,Jun,Q2,2,2024,2024-06,22,Saturday,6,Yes,FY2024
2024-06-02,2,6,June,Jun,Q2,2,2024,2024-06,22,Sunday,7,Yes,FY2024
2024-06-03,3,6,June,Jun,Q2,2,2024,2024-06,23,Monday,1,No,FY2024
2024-06-04,4,6,June,Jun,Q2,2,2024,2024-06,23,Tuesday,2,No,FY2024
2024-06-05,5,6,June,Jun,Q2,2,2024,2024-06,23,Wednesday,3,No,FY2024
2024-06-06,6,6,June,Jun,Q2,2,2024,2024-06,23,Thursday,4,No,FY2024
2024-06-07,7,6,June,Jun,Q2,2,2024,2024-06,23,Friday,5,No,FY2024
2024-06-08,8,6,June,Jun,Q2,2,2024,2024-06,23,Saturday,6,Yes,FY2024
2024-06-09,9,6,June,Jun,Q2,2,2024,2024-06,23,Sunday,7,Yes,FY2024
2024-06-10,10,6,June,Jun,Q2,2,2024,2024-06,24,Monday,1,No,FY2024
2024-06-11,11,6,June,Jun,Q2,2,2024,2024-06,24,Tuesday,2,No,FY2024
2024-06-12,12,6,June,Jun,Q2,2,2024,2024-06,24,Wednesday,3,No,FY2024
2024-06-13,13,6,June,Jun,Q2,2,2024,2024-06,24,Thursday,4,No,FY2024
2024-06-14,14,6,June,Jun,Q2,2,2024,2024-06,24,Friday,5,No,FY2024
2024-06-15,15,6,June,Jun,Q2,2,2024,2024-06,24,Saturday,6,Yes,FY2024
2024-06-16,16,6,June,Jun,Q2,2,2024,2024-06,24,Sunday,7,Yes,FY2024
2024-06-17,17,6,June,Jun,Q2,2,2024,2024-06,25,Monday,1,No,FY2024
2024-06-18,18,6,June,Jun,Q2,2,2024,2024-06,25,Tuesday,2,No,FY2024
2024-06-19,19,6,June,Jun,Q2,2,2024,2024-06,25,Wednesday,3,No,FY2024
2024-06-20,20,6,June,Jun,Q2,2,2024,2024-06,25,Thursday,4,No,FY2024
2024-06-21,21,6,June,Jun,Q2,2,2024,2024-06,25,Friday,5,No,FY2024
2024-06-22,22,6,June,Jun,Q2,2,2024,2024-06,25,Saturday,6,Yes,FY2024
2024-06-23,23,6,June,Jun,Q2,2,2024,2024-06,25,Sunday,7,Yes,FY2024
2024-06-24,24,6,June,Jun,Q2,2,2024,2024-06,26,Monday,1,No,FY2024
2024-06-25,25,6,June,Jun,Q2,2,2024,2024-06,26,Tuesday,2,No,FY2024
2024-06-26,26,6,June,Jun,Q2,2,2024,2024-06,26,Wednesday,3,No,FY2024
2024-06-27,27,6,June,Jun,Q2,2,2024,2024-06,26,Thursday,4,No,FY2024
2024-06-28,28,6,June,Jun,Q2,2,2024,2024-06,26,Friday,5,No,FY2024
2024-06-29,29,6,June,Jun,Q2,2,2024,2024-06,26,Saturday,6,Yes,FY2024
2024-06-30,30,6,June,Jun,Q2,2,2024,2024-06,26,Sunday,7,Yes,FY2024
2024-07-01,1,7,July,Jul,Q3,3,2024,2024-07,27,Monday,1,No,FY2024
2024-07-02,2,7,July,Jul,Q3,3,2024,2024-07,27,Tuesday,2,No,FY2024
2024-07-03,3,7,July,Jul,Q3,3,2024,2024-07,27,Wednesday,3,No,FY2024
2024-07-04,4,7,July,Jul,Q3,3,2024,2024-07,27,Thursday,4,No,FY2024
2024-07-05,5,7,July,Jul,Q3,3,2024,2024-07,27,Friday,5,No,FY2024
2024-07-06,6,7,July,Jul,Q3,3,2024,2024-07,27,Saturday,6,Yes,FY2024
2024-07-07,7,7,July,Jul,Q3,3,2024,2024-07,27,Sunday,7,Yes,FY2024
2024-07-08,8,7,July,Jul,Q3,3,2024,2024-07,28,Monday,1,No,FY2024
2024-07-09,9,7,July,Jul,Q3,3,2024,2024-07,28,Tuesday,2,No,FY2024
2024-07-10,10,7,July,Jul,Q3,3,2024,2024-07,28,Wednesday,3,No,FY2024
2024-07-11,11,7,July,Jul,Q3,3,2024,2024-07,28,Thursday,4,No,FY2024
2024-07-12,12,7,July,Jul,Q3,3,2024,2024-07,28,Friday,5,No,FY2024
2024-07-13,13,7,July,Jul,Q3,3,2024,2024-07,28,Saturday,6,Yes,FY2024
2024-07-14,14,7,July,Jul,Q3,3,2024,2024-07,28,Sunday,7,Yes,FY2024
2024-07-15,15,7,July,Jul,Q3,3,2024,2024-07,29,Monday,1,No,FY2024
2024-07-16,16,7,July,Jul,Q3,3,2024,2024-07,29,Tuesday,2,No,FY2024
2024-07-17,17,7,July,Jul,Q3,3,2024,2024-07,29,Wednesday,3,No,FY2024
2024-07-18,18,7,July,Jul,Q3,3,2024,2024-07,29,Thursday,4,No,FY2024
2024-07-19,19,7,July,Jul,Q3,3,2024,2024-07,29,Friday,5,No,FY2024
2024-07-20,20,7,July,Jul,Q3,3,2024,2024-07,29,Saturday,6,Yes,FY2024
2024-07-21,21,7,July,Jul,Q3,3,2024,2024-07,29,Sunday,7,Yes,FY2024
2024-07-22,22,7,July,Jul,Q3,3,2024,2024-07,30,Monday,1,No,FY2024
2024-07-23,23,7,July,Jul,Q3,3,2024,2024-07,30,Tuesday,2,No,FY2024
2024-07-24,24,7,July,Jul,Q3,3,2024,2024-07,30,Wednesday,3,No,FY2024
2024-07-25,25,7,July,Jul,Q3,3,2024,2024-07,30,Thursday,4,No,FY2024
2024-07-26,26,7,July,Jul,Q3,3,2024,2024-07,30,Friday,5,No,FY2024
2024-07-27,27,7,July,Jul,Q3,3,2024,2024-07,30,Saturday,6,Yes,FY2024
2024-07-28,28,7,July,Jul,Q3,3,2024,2024-07,30,Sunday,7,Yes,FY2024
2024-07-29,29,7,July,Jul,Q3,3,2024,2024-07,31,Monday,1,No,FY2024
2024-07-30,30,7,July,Jul,Q3,3,2024,2024-07,31,Tuesday,2,No,FY2024
2024-07-31,31,7,July,Jul,Q3,3,2024,2024-07,31,Wednesday,3,No,FY2024
2024-08-01,1,8,August,Aug,Q3,3,2024,2024-08,31,Thursday,4,No,FY2024
2024-08-02,2,8,August,Aug,Q3,3,2024,2024-08,31,Friday,5,No,FY2024
2024-08-03,3,8,August,Aug,Q3,3,2024,2024-08,31,Saturday,6,Yes,FY2024
2024-08-04,4,8,August,Aug,Q3,3,2024,2024-08,31,Sunday,7,Yes,FY2024
2024-08-05,5,8,August,Aug,Q3,3,2024,2024-08,32,Monday,1,No,FY2024
2024-08-06,6,8,August,Aug,Q3,3,2024,2024-08,32,Tuesday,2,No,FY2024
2024-08-07,7,8,August,Aug,Q3,3,2024,2024-08,32,Wednesday,3,No,FY2024
2024-08-08,8,8,August,Aug,Q3,3,2024,2024-08,32,Thursday,4,No,FY2024
2024-08-09,9,8,August,Aug,Q3,3,2024,2024-08,32,Friday,5,No,FY2024
2024-08-10,10,8,August,Aug,Q3,3,2024,2024-08,32,Saturday,6,Yes,FY2024
2024-08-11,11,8,August,Aug,Q3,3,2024,2024-08,32,Sunday,7,Yes,FY2024
2024-08-12,12,8,August,Aug,Q3,3,2024,2024-08,33,Monday,1,No,FY2024
2024-08-13,13,8,August,Aug,Q3,3,2024,2024-08,33,Tuesday,2,No,FY2024
2024-08-14,14,8,August,Aug,Q3,3,2024,2024-08,33,Wednesday,3,No,FY2024
2024-08-15,15,8,August,Aug,Q3,3,2024,2024-08,33,Thursday,4,No,FY2024
2024-08-16,16,8,August,Aug,Q3,3,2024,2024-08,33,Friday,5,No,FY2024
2024-08-17,17,8,August,Aug,Q3,3,2024,2024-08,33,Saturday,6,Yes,FY2024
2024-08-18,18,8,August,Aug,Q3,3,2024,2024-08,33,Sunday,7,Yes,FY2024
2024-08-19,19,8,August,Aug,Q3,3,2024,2024-08,34,Monday,1,No,FY2024
2024-08-20,20,8,August,Aug,Q3,3,2024,2024-08,34,Tuesday,2,No,FY2024
2024-08-21,21,8,August,Aug,Q3,3,2024,2024-08,34,Wednesday,3,No,FY2024
2024-08-22,22,8,August,Aug,Q3,3,2024,2024-08,34,Thursday,4,No,FY2024
2024-08-23,23,8,August,Aug,Q3,3,2024,2024-08,34,Friday,5,No,FY2024
2024-08-24,24,8,August,Aug,Q3,3,2024,2024-08,34,Saturday,6,Yes,FY2024
2024-08-25,25,8,August,Aug,Q3,3,2024,2024-08,34,Sunday,7,Yes,FY2024
2024-08-26,26,8,August,Aug,Q3,3,2024,2024-08,35,Monday,1,No,FY2024
2024-08-27,27,8,August,Aug,Q3,3,2024,2024-08,35,Tuesday,2,No,FY2024
2024-08-28,28,8,August,Aug,Q3,3,2024,2024-08,35,Wednesday,3,No,FY2024
2024-08-29,29,8,August,Aug,Q3,3,2024,2024-08,35,Thursday,4,No,FY2024
2024-08-30,30,8,August,Aug,Q3,3,2024,2024-08,35,Friday,5,No,FY2024
2024-08-31,31,8,August,Aug,Q3,3,2024,2024-08,35,Saturday,6,Yes,FY2024
2024-09-01,1,9,September,Sep,Q3,3,2024,2024-09,35,Sunday,7,Yes,FY2024
2024-09-02,2,9,September,Sep,Q3,3,2024,2024-09,36,Monday,1,No,FY2024
2024-09-03,3,9,September,Sep,Q3,3,2024,2024-09,36,Tuesday,2,No,FY2024
2024-09-04,4,9,September,Sep,Q3,3,2024,2024-09,36,Wednesday,3,No,FY2024
2024-09-05,5,9,September,Sep,Q3,3,2024,2024-09,36,Thursday,4,No,FY2024
2024-09-06,6,9,September,Sep,Q3,3,2024,2024-09,36,Friday,5,No,FY2024
2024-09-07,7,9,September,Sep,Q3,3,2024,2024-09,36,Saturday,6,Yes,FY2024
2024-09-08,8,9,September,Sep,Q3,3,2024,2024-09,36,Sunday,7,Yes,FY2024
2024-09-09,9,9,September,Sep,Q3,3,2024,2024-09,37,Monday,1,No,FY2024
2024-09-10,10,9,September,Sep,Q3,3,2024,2024-09,37,Tuesday,2,No,FY2024
2024-09-11,11,9,September,Sep,Q3,3,2024,2024-09,37,Wednesday,3,No,FY2024
2024-09-12,12,9,September,Sep,Q3,3,2024,2024-09,37,Thursday,4,No,FY2024
2024-09-13,13,9,September,Sep,Q3,3,2024,2024-09,37,Friday,5,No,FY2024
2024-09-14,14,9,September,Sep,Q3,3,2024,2024-09,37,Saturday,6,Yes,FY2024
2024-09-15,15,9,September,Sep,Q3,3,2024,2024-09,37,Sunday,7,Yes,FY2024
2024-09-16,16,9,September,Sep,Q3,3,2024,2024-09,38,Monday,1,No,FY2024
2024-09-17,17,9,September,Sep,Q3,3,2024,2024-09,38,Tuesday,2,No,FY2024
2024-09-18,18,9,September,Sep,Q3,3,2024,2024-09,38,Wednesday,3,No,FY2024
2024-09-19,19,9,September,Sep,Q3,3,2024,2024-09,38,Thursday,4,No,FY2024
2024-09-20,20,9,September,Sep,Q3,3,2024,2024-09,38,Friday,5,No,FY2024
2024-09-21,21,9,September,Sep,Q3,3,2024,2024-09,38,Saturday,6,Yes,FY2024
2024-09-22,22,9,September,Sep,Q3,3,2024,2024-09,38,Sunday,7,Yes,FY2024
2024-09-23,23,9,September,Sep,Q3,3,2024,2024-09,39,Monday,1,No,FY2024
2024-09-24,24,9,September,Sep,Q3,3,2024,2024-09,39,Tuesday,2,No,FY2024
2024-09-25,25,9,September,Sep,Q3,3,2024,2024-09,39,Wednesday,3,No,FY2024
2024-09-26,26,9,September,Sep,Q3,3,2024,2024-09,39,Thursday,4,No,FY2024
2024-09-27,27,9,September,Sep,Q3,3,2024,2024-09,39,Friday,5,No,FY2024
2024-09-28,28,9,September,Sep,Q3,3,2024,2024-09,39,Saturday,6,Yes,FY2024
2024-09-29,29,9,September,Sep,Q3,3,2024,2024-09,39,Sunday,7,Yes,FY2024
2024-09-30,30,9,September,Sep,Q3,3,2024,2024-09,40,Monday,1,No,FY2024
2024-10-01,1,10,October,Oct,Q4,4,2024,2024-10,40,Tuesday,2,No,FY2024
2024-10-02,2,10,October,Oct,Q4,4,2024,2024-10,40,Wednesday,3,No,FY2024
2024-10-03,3,10,October,Oct,Q4,4,2024,2024-10,40,Thursday,4,No,FY2024
2024-10-04,4,10,October,Oct,Q4,4,2024,2024-10,40,Friday,5,No,FY2024
2024-10-05,5,10,October,Oct,Q4,4,2024,2024-10,40,Saturday,6,Yes,FY2024
2024-10-06,6,10,October,Oct,Q4,4,2024,2024-10,40,Sunday,7,Yes,FY2024
2024-10-07,7,10,October,Oct,Q4,4,2024,2024-10,41,Monday,1,No,FY2024
2024-10-08,8,10,October,Oct,Q4,4,2024,2024-10,41,Tuesday,2,No,FY2024
2024-10-09,9,10,October,Oct,Q4,4,2024,2024-10,41,Wednesday,3,No,FY2024
2024-10-10,10,10,October,Oct,Q4,4,2024,2024-10,41,Thursday,4,No,FY2024
2024-10-11,11,10,October,Oct,Q4,4,2024,2024-10,41,Friday,5,No,FY2024
2024-10-12,12,10,October,Oct,Q4,4,2024,2024-10,41,Saturday,6,Yes,FY2024
2024-10-13,13,10,October,Oct,Q4,4,2024,2024-10,41,Sunday,7,Yes,FY2024
2024-10-14,14,10,October,Oct,Q4,4,2024,2024-10,42,Monday,1,No,FY2024
2024-10-15,15,10,October,Oct,Q4,4,2024,2024-10,42,Tuesday,2,No,FY2024
2024-10-16,16,10,October,Oct,Q4,4,2024,2024-10,42,Wednesday,3,No,FY2024
2024-10-17,17,10,October,Oct,Q4,4,2024,2024-10,42,Thursday,4,No,FY2024
2024-10-18,18,10,October,Oct,Q4,4,2024,2024-10,42,Friday,5,No,FY2024
