Shipment_ID,Order_ID,Carrier,Ship_Mode,Ship_Date,Expected_Delivery,Actual_Delivery,Shipping_Cost,Weight_KG,Status,On_Time,Delay_Days
SHP00038,SO00043,Blue Dart,Road,2025-09-10,2025-09-13,2025-09-19,875.15,208.91,Delivered,No,6
SHP00039,SO00044,XpressBees,Air,2025-09-09,2025-09-09,2025-09-11,1631.05,240.45,Delivered,No,2
SHP00040,SO00045,XpressBees,Road,2025-11-10,2025-11-18,2025-11-18,491.09,414.57,Delivered,Yes,0
SHP00041,SO00046,DTDC,Rail,2025-09-23,2025-09-24,2025-09-25,88.85,275.93,Delivered,No,1
SHP00042,SO00048,Blue Dart,Rail,2025-04-03,2025-04-14,,817.79,189.41,Shipped,No,0
SHP00043,SO00049,DTDC,Road,2026-01-06,2026-01-15,2026-01-22,1690.4,457.01,Delivered,No,7
SHP00044,SO00051,XpressBees,Rail,2026-01-21,2026-01-25,2026-01-31,1476.15,141.03,Delivered,No,6
SHP00045,SO00052,FedEx,Road,2026-01-24,2026-01-24,2026-01-31,1092.54,31.97,Delivered,No,7
SHP00046,SO00056,Ecom Express,Sea,2025-06-10,2025-06-18,,1353.31,319.4,Shipped,No,0
SHP00047,SO00057,Blue Dart,Road,2025-07-06,2025-07-13,2025-07-18,548.48,499.58,Delivered,No,5
SHP00048,SO00058,Blue Dart,Rail,2025-09-11,2025-09-20,,887.5,32.24,Shipped,No,0
SHP00049,SO00061,XpressBees,Air,2025-06-15,2025-06-19,2025-06-22,1533.65,271.05,Delivered,No,3
SHP00050,SO00064,Ecom Express,Sea,2025-06-17,2025-06-23,,1367.06,218.08,Shipped,No,0
SHP00051,SO00065,Blue Dart,Air,2025-04-22,2025-05-03,,1751.74,471.75,Shipped,No,0
SHP00052,SO00066,XpressBees,Road,2025-09-14,2025-09-21,2025-09-28,1972.05,449.14,Delivered,No,7
SHP00053,SO00067,FedEx,Rail,2025-12-29,2026-01-01,2026-01-05,459.81,167.31,Delivered,No,4
SHP00054,SO00069,DHL,Rail,2025-08-07,2025-08-06,,561.19,90.49,Shipped,No,0
SHP00055,SO00070,Ecom Express,Sea,2026-01-07,2026-01-14,2026-01-20,1667.33,266.71,Delivered,No,6
SHP00056,SO00071,XpressBees,Sea,2026-03-13,2026-03-24,,1310.71,248.5,Shipped,No,0
SHP00057,SO00075,Delhivery,Air,2026-02-12,2026-02-18,,1575.23,499.56,Shipped,No,0
SHP00058,SO00076,Blue Dart,Sea,2026-01-25,2026-02-06,2026-02-11,1701.29,122.81,Delivered,No,5
SHP00059,SO00077,XpressBees,Rail,2025-07-15,2025-07-28,2025-07-30,953.24,136.97,Delivered,No,2
SHP00060,SO00078,FedEx,Rail,2025-03-15,2025-03-22,,779.89,438.53,Shipped,No,0
SHP00061,SO00080,DHL,Rail,2026-01-24,2026-01-29,2026-01-31,1528.51,335.97,Delivered,No,2
SHP00062,SO00082,Blue Dart,Rail,2025-07-31,2025-08-07,2025-08-12,1439.21,39.5,Delivered,No,5
SHP00063,SO00086,FedEx,Sea,2025-07-07,2025-07-15,,95.01,313.85,Shipped,No,0
SHP00064,SO00088,DTDC,Air,2025-06-30,2025-07-13,2025-07-15,1267.26,391.24,Delivered,No,2
SHP00065,SO00089,Blue Dart,Sea,2025-06-21,2025-06-26,2025-07-03,1296.4,78.19,Delivered,No,7
SHP00066,SO00090,DHL,Air,2025-06-01,2025-06-13,2025-06-18,281.73,267.8,Delivered,No,5
SHP00067,SO00091,DTDC,Rail,2025-07-30,2025-08-10,,1933.55,298.17,Shipped,No,0
SHP00068,SO00094,Blue Dart,Rail,2025-04-25,2025-05-03,,1116.75,344.13,Shipped,No,0
SHP00069,SO00096,Blue Dart,Air,2025-10-31,2025-11-13,2025-11-17,1189.69,82.87,Delivered,No,4
SHP00070,SO00097,Ecom Express,Road,2025-10-16,2025-10-22,,1171.23,467.08,Shipped,No,0
SHP00071,SO00101,FedEx,Sea,2025-12-12,2025-12-23,2025-12-24,1018.19,8.04,Delivered,No,1
SHP00072,SO00102,XpressBees,Rail,2025-12-10,2025-12-08,,418.45,13.97,Shipped,No,0
SHP00073,SO00103,FedEx,Road,2025-05-09,2025-05-20,2025-05-24,1286.34,381.9,Delivered,No,4
SHP00074,SO00104,DHL,Road,2025-05-31,2025-06-05,,1264.37,440.03,Shipped,No,0
SHP00075,SO00105,DHL,Air,2025-06-15,2025-06-16,2025-06-21,1378.65,384.6,Delivered,No,5
SHP00076,SO00107,Blue Dart,Rail,2025-12-31,2026-01-04,2026-01-08,1985.75,409.57,Delivered,No,4
SHP00077,SO00110,Delhivery,Rail,2026-01-04,2026-01-03,,1020.76,192.59,Shipped,No,0
SHP00078,SO00113,Blue Dart,Sea,2025-10-19,2025-10-17,,1398.31,417.23,Shipped,No,0
SHP00079,SO00114,XpressBees,Road,2025-07-30,2025-08-05,2025-08-06,523.75,290.44,Delivered,No,1
SHP00080,SO00115,Blue Dart,Road,2025-05-12,2025-05-23,2025-05-30,107.49,341.18,Delivered,No,7
SHP00081,SO00116,FedEx,Rail,2025-05-31,2025-06-11,,1116.54,265.61,Shipped,No,0
SHP00082,SO00117,DHL,Air,2025-11-15,2025-11-26,,1700.64,170.38,Shipped,No,0
SHP00083,SO00118,DHL,Road,2026-03-04,2026-03-04,2026-03-11,919.11,99.69,Delivered,No,7
SHP00084,SO00119,Ecom Express,Air,2025-08-21,2025-08-19,2025-08-23,1224.89,216.37,Delivered,No,4
SHP00085,SO00122,Blue Dart,Rail,2025-12-04,2025-12-07,,1523.95,317.7,Shipped,No,0
SHP00086,SO00123,Ecom Express,Air,2025-04-19,2025-04-19,2025-04-25,1519.69,171.07,Delivered,No,6
SHP00087,SO00124,DTDC,Road,2025-12-03,2025-12-10,2025-12-12,672.79,373.35,Delivered,No,2
SHP00088,SO00125,Ecom Express,Sea,2026-01-05,2026-01-14,2026-01-13,1797.12,456.14,Delivered,Yes,0
SHP00089,SO00126,DTDC,Air,2025-06-08,2025-06-06,2025-06-07,1624.1,254.03,Delivered,No,1
SHP00090,SO00127,Blue Dart,Sea,2025-06-03,2025-06-13,2025-06-16,154.24,290.09,Delivered,No,3
SHP00091,SO00129,XpressBees,Air,2025-03-24,2025-03-26,2025-03-27,307.71,243.08,Delivered,No,1
SHP00092,SO00130,Ecom Express,Road,2025-09-03,2025-09-07,2025-09-13,541.56,396.68,Delivered,No,6
SHP00093,SO00131,Delhivery,Air,2025-09-14,2025-09-20,2025-09-22,1962.7,104.47,Delivered,No,2
SHP00094,SO00132,FedEx,Sea,2025-03-31,2025-04-03,,1843.21,126.07,Shipped,No,0
SHP00095,SO00133,DTDC,Road,2025-06-29,2025-07-04,2025-07-06,377.11,74.95,Delivered,No,2
SHP00096,SO00134,Ecom Express,Rail,2025-06-17,2025-06-28,2025-06-26,75.41,239.09,Delivered,Yes,0
SHP00097,SO00136,Ecom Express,Air,2025-12-16,2025-12-21,2025-12-20,993.38,454.51,Delivered,Yes,0
SHP00098,SO00137,Ecom Express,Air,2025-09-11,2025-09-24,2025-09-28,181.76,29.43,Delivered,No,4
SHP00099,SO00138,DHL,Sea,2025-05-04,2025-05-16,2025-05-19,1824.08,305.41,Delivered,No,3
SHP00100,SO00142,Ecom Express,Air,2026-03-11,2026-03-16,2026-03-20,819.83,402.83,Delivered,No,4
SHP00101,SO00146,Blue Dart,Road,2025-07-21,2025-07-21,2025-07-27,210.98,319.49,Delivered,No,6
SHP00102,SO00147,DTDC,Sea,2026-01-23,2026-01-29,,869.58,241.97,Shipped,No,0
SHP00103,SO00149,FedEx,Sea,2025-07-23,2025-07-22,2025-07-24,1167.62,173.61,Delivered,No,2
SHP00104,SO00150,DTDC,Rail,2025-12-07,2025-12-17,2025-12-24,765.0,494.33,Delivered,No,7
SHP00105,SO00151,Ecom Express,Air,2026-01-25,2026-02-04,,533.53,476.87,Shipped,No,0
SHP00106,SO00152,XpressBees,Road,2025-08-28,2025-09-08,2025-09-07,1320.27,38.08,Delivered,Yes,0
SHP00107,SO00153,DTDC,Air,2025-04-30,2025-05-01,2025-05-07,1738.3,110.99,Delivered,No,6
SHP00108,SO00154,FedEx,Rail,2025-07-11,2025-07-15,2025-07-17,1978.88,467.48,Delivered,No,2
SHP00109,SO00155,FedEx,Sea,2026-01-16,2026-01-15,,185.46,369.3,Shipped,No,0
SHP00110,SO00158,DTDC,Rail,2025-05-23,2025-05-25,,1901.33,275.15,Shipped,No,0
SHP00111,SO00159,FedEx,Rail,2026-02-20,2026-02-21,2026-02-28,1134.63,331.89,Delivered,No,7
SHP00112,SO00160,FedEx,Sea,2025-11-27,2025-12-01,2025-11-29,323.58,65.79,Delivered,Yes,0
SHP00113,SO00161,Blue Dart,Sea,2026-03-05,2026-03-08,2026-03-07,541.66,140.75,Delivered,Yes,0
SHP00114,SO00163,FedEx,Air,2025-08-02,2025-08-06,,144.08,197.03,Shipped,No,0
SHP00115,SO00164,DTDC,Sea,2026-03-14,2026-03-13,2026-03-18,511.95,453.99,Delivered,No,5
SHP00116,SO00167,Delhivery,Road,2025-08-21,2025-08-24,2025-08-29,548.49,271.92,Delivered,No,5
SHP00117,SO00168,FedEx,Air,2025-11-17,2025-11-16,,363.84,304.23,Shipped,No,0
SHP00118,SO00170,Delhivery,Rail,2026-02-11,2026-02-23,,1260.27,472.04,Shipped,No,0
SHP00119,SO00172,Delhivery,Air,2025-05-09,2025-05-17,2025-05-16,254.23,47.97,Delivered,Yes,0
SHP00120,SO00175,FedEx,Rail,2025-06-16,2025-06-28,2025-06-30,579.28,319.04,Delivered,No,2
SHP00121,SO00176,Ecom Express,Sea,2026-01-05,2026-01-09,2026-01-10,695.53,315.08,Delivered,No,1
SHP00122,SO00178,DTDC,Rail,2025-12-30,2026-01-04,2026-01-04,1205.5,443.26,Delivered,Yes,0
SHP00123,SO00179,XpressBees,Road,2025-03-24,2025-03-24,2025-03-25,1275.44,435.41,Delivered,No,1
SHP00124,SO00180,Blue Dart,Rail,2025-08-13,2025-08-12,2025-08-17,1866.75,488.59,Delivered,No,5
SHP00125,SO00182,XpressBees,Air,2025-06-23,2025-06-21,2025-06-24,1533.86,358.21,Delivered,No,3
SHP00126,SO00184,Delhivery,Road,2025-04-03,2025-04-12,2025-04-19,1658.0,241.8,Delivered,No,7
SHP00127,SO00186,Blue Dart,Sea,2025-12-17,2025-12-18,,366.36,385.57,Shipped,No,0
SHP00128,SO00188,Delhivery,Air,2025-07-14,2025-07-25,,665.84,107.4,Shipped,No,0
SHP00129,SO00189,Blue Dart,Road,2025-04-01,2025-04-07,2025-04-10,564.29,409.0,Delivered,No,3
SHP00130,SO00190,DHL,Air,2025-05-22,2025-06-03,2025-06-07,1704.88,1.57,Delivered,No,4
SHP00131,SO00191,DHL,Sea,2026-03-08,2026-03-12,2026-03-14,731.55,131.31,Delivered,No,2
SHP00132,SO00192,Blue Dart,Road,2026-02-06,2026-02-10,2026-02-08,1562.85,217.37,Delivered,Yes,0
SHP00133,SO00194,Blue Dart,Air,2025-08-29,2025-09-03,2025-09-08,461.1,70.18,Delivered,No,5
SHP00134,SO00196,FedEx,Air,2025-05-14,2025-05-25,,1714.86,70.96,Shipped,No,0
SHP00135,SO00198,Ecom Express,Road,2025-05-13,2025-05-14,,425.3,404.69,Shipped,No,0
SHP00136,SO00199,Delhivery,Road,2025-08-16,2025-08-24,2025-08-23,975.67,478.94,Delivered,Yes,0
SHP00137,SO00200,DTDC,Road,2026-03-14,2026-03-24,2026-03-27,533.98,15.08,Delivered,No,3
SHP00138,SO00201,XpressBees,Air,2026-02-04,2026-02-04,,1840.15,276.92,Shipped,No,0
SHP00139,SO00202,XpressBees,Air,2025-10-12,2025-10-16,2025-10-14,1783.6,258.0,Delivered,Yes,0
SHP00140,SO00203,DTDC,Air,2025-12-17,2025-12-21,2025-12-23,374.22,183.98,Delivered,No,2
SHP00141,SO00204,FedEx,Rail,2025-05-17,2025-05-25,2025-05-25,1419.07,116.22,Delivered,Yes,0
SHP00142,SO00207,DTDC,Rail,2026-03-11,2026-03-10,2026-03-09,1666.42,232.48,Delivered,Yes,0
SHP00143,SO00209,DTDC,Road,2026-03-10,2026-03-12,,244.85,222.89,Shipped,No,0
SHP00144,SO00210,Ecom Express,Sea,2025-04-16,2025-04-23,,256.12,282.55,Shipped,No,0
SHP00145,SO00211,FedEx,Sea,2025-10-16,2025-10-19,2025-10-23,1805.59,487.1,Delivered,No,4
SHP00146,SO00212,Blue Dart,Road,2025-05-08,2025-05-16,2025-05-18,700.96,466.09,Delivered,No,2
SHP00147,SO00213,DTDC,Road,2025-07-17,2025-07-15,,930.62,36.81,Shipped,No,0
SHP00148,SO00214,DTDC,Air,2025-11-09,2025-11-09,,1091.56,263.23,Shipped,No,0
SHP00149,SO00216,DTDC,Rail,2025-11-27,2025-11-29,,1984.59,415.82,Shipped,No,0
SHP00150,SO00218,FedEx,Rail,2025-07-11,2025-07-20,,1778.43,175.28,Shipped,No,0
SHP00151,SO00220,Delhivery,Rail,2026-01-11,2026-01-11,,1121.05,168.17,Shipped,No,0
SHP00152,SO00221,Ecom Express,Sea,2025-05-07,2025-05-06,,1955.16,171.72,Shipped,No,0
SHP00153,SO00222,Blue Dart,Sea,2025-09-13,2025-09-23,,1854.5,269.42,Shipped,No,0
SHP00154,SO00224,XpressBees,Sea,2025-08-08,2025-08-06,2025-08-11,990.65,376.82,Delivered,No,5
SHP00155,SO00226,Ecom Express,Rail,2025-04-19,2025-04-24,,806.66,450.31,Shipped,No,0
SHP00156,SO00227,FedEx,Road,2025-11-23,2025-12-01,,364.12,334.2,Shipped,No,0
SHP00157,SO00228,DHL,Sea,2025-08-17,2025-08-15,,1665.99,50.37,Shipped,No,0
SHP00158,SO00229,Ecom Express,Air,2025-06-11,2025-06-20,2025-06-27,738.23,323.42,Delivered,No,7
SHP00159,SO00230,FedEx,Sea,2025-03-24,2025-04-04,2025-04-10,1630.9,175.9,Delivered,No,6
SHP00160,SO00231,XpressBees,Air,2025-06-20,2025-06-27,2025-06-29,1239.35,190.3,Delivered,No,2
SHP00161,SO00233,Ecom Express,Road,2025-09-11,2025-09-13,,486.01,325.42,Shipped,No,0
SHP00162,SO00234,DTDC,Sea,2025-06-17,2025-06-26,,706.74,295.71,Shipped,No,0
SHP00163,SO00235,FedEx,Air,2025-10-05,2025-10-10,,1295.33,321.4,Shipped,No,0
SHP00164,SO00239,Ecom Express,Rail,2025-07-19,2025-07-28,,1385.21,429.31,Shipped,No,0
SHP00165,SO00242,DHL,Rail,2025-12-18,2025-12-28,2025-12-31,817.42,462.07,Delivered,No,3
SHP00166,SO00243,Ecom Express,Air,2025-04-09,2025-04-10,2025-04-16,411.11,367.69,Delivered,No,6
SHP00167,SO00244,Delhivery,Air,2025-03-26,2025-04-05,2025-04-11,1453.3,364.73,Delivered,No,6
SHP00168,SO00245,DTDC,Air,2025-07-17,2025-07-20,,1665.26,454.33,Shipped,No,0
SHP00169,SO00246,FedEx,Air,2025-10-20,2025-10-20,,1886.21,319.63,Shipped,No,0
SHP00170,SO00248,DHL,Rail,2025-04-10,2025-04-13,,584.52,283.93,Shipped,No,0
SHP00171,SO00249,DTDC,Road,2025-09-27,2025-10-01,2025-10-08,898.48,31.09,Delivered,No,7
SHP00172,SO00250,Delhivery,Sea,2025-12-15,2025-12-23,2025-12-26,1250.31,459.61,Delivered,No,3
SHP00173,SO00251,DHL,Rail,2025-06-28,2025-07-03,2025-07-07,332.7,451.1,Delivered,No,4
SHP00174,SO00252,Blue Dart,Air,2026-02-04,2026-02-11,,877.59,194.13,Shipped,No,0
SHP00175,SO00254,FedEx,Sea,2025-03-20,2025-03-18,2025-03-21,615.95,10.79,Delivered,No,3
SHP00176,SO00256,DTDC,Rail,2025-06-06,2025-06-07,2025-06-14,637.77,301.55,Delivered,No,7
SHP00177,SO00257,DHL,Road,2025-04-05,2025-04-17,2025-04-20,1080.12,364.82,Delivered,No,3
SHP00178,SO00258,Delhivery,Sea,2025-04-02,2025-04-02,,1227.87,474.96,Shipped,No,0
SHP00179,SO00259,DHL,Rail,2025-09-06,2025-09-15,,870.22,84.81,Shipped,No,0
SHP00180,SO00260,Ecom Express,Air,2025-12-06,2025-12-11,2025-12-17,658.73,132.77,Delivered,No,6
SHP00181,SO00262,XpressBees,Road,2026-02-05,2026-02-08,2026-02-06,322.72,238.65,Delivered,Yes,0
SHP00182,SO00263,DHL,Road,2025-04-25,2025-05-01,,1730.02,94.03,Shipped,No,0
SHP00183,SO00264,Delhivery,Air,2025-11-07,2025-11-15,2025-11-16,1357.29,475.52,Delivered,No,1
SHP00184,SO00266,Delhivery,Sea,2025-10-05,2025-10-16,2025-10-18,1966.47,111.86,Delivered,No,2
SHP00185,SO00267,FedEx,Rail,2025-03-13,2025-03-24,2025-03-28,1264.61,487.38,Delivered,No,4
SHP00186,SO00269,Ecom Express,Rail,2025-06-13,2025-06-12,,1844.05,234.07,Shipped,No,0
SHP00187,SO00271,Blue Dart,Road,2025-07-19,2025-07-28,2025-07-30,641.53,422.48,Delivered,No,2
SHP00188,SO00272,DTDC,Rail,2025-05-28,2025-06-06,2025-06-09,853.84,89.4,Delivered,No,3
SHP00189,SO00273,DTDC,Rail,2025-04-09,2025-04-12,2025-04-14,949.68,124.14,Delivered,No,2
SHP00190,SO00275,Ecom Express,Road,2025-05-30,2025-05-30,,1129.08,164.19,Shipped,No,0
SHP00191,SO00276,Ecom Express,Sea,2025-10-03,2025-10-04,2025-10-02,1437.8,417.09,Delivered,Yes,0
SHP00192,SO00277,FedEx,Air,2025-07-09,2025-07-08,2025-07-06,1620.87,220.09,Delivered,Yes,0
SHP00193,SO00278,Ecom Express,Rail,2026-03-14,2026-03-20,2026-03-25,1076.76,22.25,Delivered,No,5
SHP00194,SO00280,DTDC,Sea,2025-12-08,2025-12-15,2025-12-15,1092.63,259.07,Delivered,Yes,0
SHP00195,SO00281,FedEx,Road,2025-08-06,2025-08-10,2025-08-16,1349.66,59.91,Delivered,No,6
SHP00196,SO00282,DTDC,Sea,2026-01-30,2026-02-11,2026-02-16,1016.03,386.63,Delivered,No,5
SHP00197,SO00283,DHL,Rail,2025-12-19,2025-12-20,2025-12-18,607.99,88.64,Delivered,Yes,0
SHP00198,SO00284,XpressBees,Road,2025-06-29,2025-07-06,2025-07-05,756.5,143.83,Delivered,Yes,0
SHP00199,SO00285,XpressBees,Air,2025-10-09,2025-10-08,2025-10-09,1751.67,331.85,Delivered,No,1
SHP00200,SO00286,Blue Dart,Road,2025-06-28,2025-07-04,2025-07-03,260.37,212.25,Delivered,Yes,0
SHP00201,SO00288,XpressBees,Rail,2025-11-26,2025-11-30,2025-12-03,844.4,403.8,Delivered,No,3
SHP00202,SO00291,FedEx,Air,2025-09-19,2025-09-17,2025-09-16,1542.99,328.07,Delivered,Yes,0
SHP00203,SO00293,FedEx,Air,2025-07-13,2025-07-22,2025-07-24,1363.49,231.51,Delivered,No,2
SHP00204,SO00294,DHL,Air,2025-09-23,2025-09-22,2025-09-26,380.37,288.7,Delivered,No,4
SHP00205,SO00295,XpressBees,Road,2025-12-29,2026-01-10,2026-01-11,1063.57,141.22,Delivered,No,1
SHP00206,SO00297,Ecom Express,Air,2025-10-01,2025-10-11,,243.15,229.61,Shipped,No,0
SHP00207,SO00298,FedEx,Road,2025-09-05,2025-09-13,2025-09-18,1960.31,348.81,Delivered,No,5
SHP00208,SO00302,Blue Dart,Sea,2025-06-15,2025-06-13,2025-06-17,1028.71,169.38,Delivered,No,4
SHP00209,SO00303,XpressBees,Air,2026-02-08,2026-02-06,,237.42,225.72,Shipped,No,0
SHP00210,SO00304,Blue Dart,Sea,2025-07-14,2025-07-25,2025-07-26,1824.6,126.58,Delivered,No,1
SHP00211,SO00305,Delhivery,Air,2025-03-28,2025-04-08,2025-04-15,424.98,396.77,Delivered,No,7
SHP00212,SO00307,XpressBees,Road,2025-11-18,2025-11-24,,1154.04,22.84,Shipped,No,0
SHP00213,SO00308,DTDC,Rail,2025-05-06,2025-05-09,,1229.79,382.04,Shipped,No,0
SHP00214,SO00309,Blue Dart,Rail,2025-11-30,2025-12-06,2025-12-07,351.38,282.74,Delivered,No,1
SHP00215,SO00310,DTDC,Sea,2026-03-03,2026-03-13,2026-03-20,677.81,410.8,Delivered,No,7
SHP00216,SO00313,Ecom Express,Rail,2026-02-05,2026-02-04,2026-02-08,932.7,65.18,Delivered,No,4
SHP00217,SO00314,FedEx,Road,2025-12-13,2025-12-23,2025-12-29,1122.77,192.72,Delivered,No,6
SHP00218,SO00315,DTDC,Road,2025-10-31,2025-11-08,,135.31,7.18,Shipped,No,0
SHP00219,SO00317,FedEx,Rail,2025-09-18,2025-09-19,2025-09-21,1110.31,334.73,Delivered,No,2
SHP00220,SO00318,FedEx,Air,2025-10-13,2025-10-16,2025-10-17,1413.06,0.53,Delivered,No,1
SHP00221,SO00319,Blue Dart,Road,2025-10-06,2025-10-15,2025-10-14,1099.25,273.3,Delivered,Yes,0
SHP00222,SO00320,DTDC,Sea,2025-03-30,2025-03-28,2025-03-31,362.49,362.42,Delivered,No,3
SHP00223,SO00322,XpressBees,Road,2025-07-06,2025-07-10,2025-07-08,1821.28,499.28,Delivered,Yes,0
SHP00224,SO00325,FedEx,Sea,2025-05-06,2025-05-18,,169.76,429.42,Shipped,No,0
SHP00225,SO00328,FedEx,Sea,2025-04-01,2025-04-05,2025-04-09,1488.98,469.8,Delivered,No,4
SHP00226,SO00329,DHL,Sea,2025-03-31,2025-04-02,,1892.28,196.1,Shipped,No,0
SHP00227,SO00331,FedEx,Rail,2026-01-19,2026-01-20,2026-01-21,184.73,425.68,Delivered,No,1
SHP00228,SO00332,Ecom Express,Air,2025-07-29,2025-07-27,2025-08-03,1984.66,30.22,Delivered,No,7
SHP00229,SO00333,FedEx,Road,2026-01-26,2026-01-29,,1481.02,310.02,Shipped,No,0
SHP00230,SO00334,DHL,Rail,2025-06-23,2025-07-03,,1341.3,204.75,Shipped,No,0
SHP00231,SO00335,Blue Dart,Road,2025-04-09,2025-04-19,,1188.32,351.89,Shipped,No,0
SHP00232,SO00338,DTDC,Road,2026-02-19,2026-02-23,,1186.12,447.88,Shipped,No,0
SHP00233,SO00339,XpressBees,Sea,2025-06-29,2025-07-07,2025-07-13,1327.27,308.07,Delivered,No,6
SHP00234,SO00341,Blue Dart,Air,2025-10-01,2025-10-01,,1238.28,385.74,Shipped,No,0
SHP00235,SO00343,Ecom Express,Road,2025-12-25,2025-12-26,2025-12-31,750.94,424.67,Delivered,No,5
SHP00236,SO00344,Delhivery,Rail,2025-12-15,2025-12-25,2025-12-28,1698.2,74.68,Delivered,No,3
SHP00237,SO00345,Delhivery,Road,2026-02-09,2026-02-12,,830.0,108.17,Shipped,No,0
SHP00238,SO00346,Delhivery,Air,2025-09-05,2025-09-04,,209.21,300.14,Shipped,No,0
SHP00239,SO00347,Blue Dart,Rail,2026-01-16,2026-01-24,,1002.09,104.37,Shipped,No,0
SHP00240,SO00348,Ecom Express,Road,2025-07-12,2025-07-20,2025-07-19,848.29,136.3,Delivered,Yes,0
SHP00241,SO00349,Delhivery,Air,2025-04-18,2025-04-28,,1723.65,467.53,Shipped,No,0
SHP00242,SO00350,Blue Dart,Air,2025-11-25,2025-11-27,2025-11-25,962.63,164.21,Delivered,Yes,0
