Order_ID,Product_ID,Customer_ID,Warehouse_ID,Order_Date,Expected_Delivery,Actual_Delivery,Quantity,Unit_Price,Discount_Pct,Total_Amount,Status,On_Time,Region
SO00042,PRD0093,CUST0163,WH002,2026-02-07,2026-02-12,2026-02-14,49,1895.09,0.12,81716.28,Delivered,No,Kolkata
SO00043,PRD0004,CUST0186,WH003,2025-09-08,2025-09-13,2025-09-19,78,1617.34,0.18,103445.07,Delivered,No,Nagpur
SO00044,PRD0092,CUST0069,WH002,2025-09-06,2025-09-09,2025-09-11,11,2345.24,0.19,20896.09,Delivered,No,Kanpur
SO00045,PRD0007,CUST0137,WH005,2025-11-09,2025-11-18,2025-11-18,66,3299.83,0.18,178586.8,Delivered,Yes,Kochi
SO00046,PRD0026,CUST0168,WH003,2025-09-22,2025-09-24,2025-09-25,57,2796.29,0.13,138668.02,Delivered,No,Kochi
SO00047,PRD0007,CUST0018,WH007,2025-10-31,2025-11-05,,88,3299.83,0.14,249731.13,Cancelled,No,Chennai
SO00048,PRD0004,CUST0123,WH004,2025-04-01,2025-04-14,,92,1617.34,0.12,130939.85,Shipped,No,Hyderabad
SO00049,PRD0085,CUST0062,WH003,2026-01-03,2026-01-15,2026-01-22,59,4254.94,0.15,213385.24,Delivered,No,Nagpur
SO00050,PRD0039,CUST0102,WH006,2025-09-02,2025-09-08,,12,3144.28,0.14,32448.97,Processing,No,Mumbai
SO00051,PRD0059,CUST0135,WH007,2026-01-20,2026-01-25,2026-01-31,74,2580.04,0.2,152738.37,Delivered,No,Mumbai
SO00052,PRD0030,CUST0070,WH002,2026-01-23,2026-01-24,2026-01-31,85,4593.93,0.06,367055.01,Delivered,No,Kochi
SO00053,PRD0039,CUST0104,WH006,2025-12-15,2025-12-21,,33,3144.28,0.18,85084.22,Processing,No,Mumbai
SO00054,PRD0020,CUST0053,WH002,2025-11-09,2025-11-13,,20,4041.09,0.13,70314.97,Processing,No,Nagpur
SO00055,PRD0083,CUST0040,WH004,2026-03-05,2026-03-10,,95,3433.07,0.17,270697.57,Processing,No,Lucknow
SO00056,PRD0036,CUST0172,WH005,2025-06-09,2025-06-18,,72,2595.06,0.0,186844.32,Shipped,No,Bangalore
SO00057,PRD0016,CUST0178,WH007,2025-07-05,2025-07-13,2025-07-18,51,3671.73,0.13,162914.66,Delivered,No,Lucknow
SO00058,PRD0082,CUST0156,WH007,2025-09-09,2025-09-20,,54,3161.39,0.16,143400.65,Shipped,No,Hyderabad
SO00059,PRD0039,CUST0182,WH008,2025-05-31,2025-06-14,,61,3144.28,0.19,155358.87,Processing,No,Kanpur
SO00060,PRD0072,CUST0105,WH005,2026-02-22,2026-03-02,,6,1668.38,0.06,9409.66,Processing,No,Kanpur
SO00061,PRD0039,CUST0165,WH001,2025-06-14,2025-06-19,2025-06-22,15,3144.28,0.11,41976.14,Delivered,No,Bangalore
SO00062,PRD0017,CUST0012,WH008,2025-11-24,2025-12-08,,59,898.52,0.02,51952.43,Processing,No,Chennai
SO00063,PRD0059,CUST0017,WH004,2025-09-09,2025-09-12,,74,2580.04,0.09,173739.89,Processing,No,Bangalore
SO00064,PRD0008,CUST0094,WH004,2025-06-15,2025-06-23,,59,3084.59,0.09,165611.64,Shipped,No,Coimbatore
SO00065,PRD0038,CUST0158,WH005,2025-04-21,2025-05-03,,97,1808.04,0.01,173626.08,Shipped,No,Bangalore
SO00066,PRD0026,CUST0121,WH006,2025-09-11,2025-09-21,2025-09-28,16,2796.29,0.12,39371.76,Delivered,No,Delhi
SO00067,PRD0022,CUST0138,WH007,2025-12-26,2026-01-01,2026-01-05,33,1820.46,0.03,58272.92,Delivered,No,Kochi
SO00068,PRD0064,CUST0107,WH003,2026-01-23,2026-02-02,,84,1528.35,0.12,112975.63,Cancelled,No,Jaipur
SO00069,PRD0076,CUST0023,WH008,2025-08-04,2025-08-06,,56,2008.76,0.17,93367.16,Shipped,No,Bangalore
SO00070,PRD0099,CUST0175,WH008,2026-01-06,2026-01-14,2026-01-20,46,3950.54,0.08,167186.85,Delivered,No,Kanpur
SO00071,PRD0071,CUST0199,WH003,2026-03-10,2026-03-24,,41,687.21,0.12,24794.54,Shipped,No,Hyderabad
SO00072,PRD0030,CUST0060,WH007,2025-03-14,2025-03-15,,48,4593.93,0.17,183022.17,Cancelled,No,Pune
SO00073,PRD0016,CUST0180,WH001,2025-08-17,2025-08-24,,28,3671.73,0.16,86359.09,Cancelled,No,Bangalore
SO00074,PRD0014,CUST0050,WH004,2025-11-15,2025-11-27,,84,480.49,0.13,35114.21,Processing,No,Nagpur
SO00075,PRD0018,CUST0186,WH006,2026-02-11,2026-02-18,,6,74.36,0.13,388.16,Shipped,No,Nagpur
SO00076,PRD0057,CUST0014,WH008,2026-01-23,2026-02-06,2026-02-11,62,4906.51,0.19,246404.93,Delivered,No,Mumbai
SO00077,PRD0021,CUST0024,WH006,2025-07-14,2025-07-28,2025-07-30,5,238.64,0.07,1109.68,Delivered,No,Coimbatore
SO00078,PRD0016,CUST0072,WH003,2025-03-14,2025-03-22,,8,3671.73,0.03,28492.62,Shipped,No,Chennai
SO00079,PRD0008,CUST0189,WH003,2025-03-20,2025-03-26,,3,3084.59,0.14,7958.24,Cancelled,No,Mumbai
SO00080,PRD0056,CUST0175,WH004,2026-01-23,2026-01-29,2026-01-31,33,1966.0,0.12,57092.64,Delivered,No,Kanpur
SO00081,PRD0023,CUST0034,WH003,2025-08-28,2025-08-29,,80,1623.61,0.14,111704.37,Cancelled,No,Coimbatore
SO00082,PRD0016,CUST0153,WH007,2025-07-29,2025-08-07,2025-08-12,42,3671.73,0.03,149586.28,Delivered,No,Delhi
SO00083,PRD0060,CUST0110,WH002,2025-04-01,2025-04-08,,28,4529.66,0.1,114147.43,Cancelled,No,Jaipur
SO00084,PRD0034,CUST0008,WH005,2026-01-11,2026-01-16,,71,4238.6,0.05,285893.57,Cancelled,No,Bangalore
SO00085,PRD0068,CUST0151,WH002,2025-12-09,2025-12-15,,44,769.95,0.14,29134.91,Cancelled,No,Kochi
SO00086,PRD0009,CUST0143,WH003,2025-07-04,2025-07-15,,50,2934.73,0.19,118856.56,Shipped,No,Kolkata
SO00087,PRD0087,CUST0116,WH004,2025-12-17,2025-12-30,,53,2218.99,0.04,112902.21,Cancelled,No,Hyderabad
SO00088,PRD0097,CUST0006,WH005,2025-06-29,2025-07-13,2025-07-15,24,1109.0,0.0,26616.0,Delivered,No,Hyderabad
SO00089,PRD0084,CUST0187,WH003,2025-06-20,2025-06-26,2025-07-03,44,1046.01,0.19,37279.8,Delivered,No,Ahmedabad
SO00090,PRD0007,CUST0019,WH003,2025-05-31,2025-06-13,2025-06-18,21,3299.83,0.09,63059.75,Delivered,No,Pune
SO00091,PRD0016,CUST0038,WH004,2025-07-29,2025-08-10,,17,3671.73,0.11,55553.27,Shipped,No,Jaipur
SO00092,PRD0009,CUST0027,WH006,2025-08-20,2025-09-01,,100,2934.73,0.03,284668.81,Cancelled,No,Lucknow
SO00093,PRD0012,CUST0107,WH002,2025-08-25,2025-09-01,,42,4408.94,0.13,161102.67,Processing,No,Jaipur
SO00094,PRD0071,CUST0186,WH003,2025-04-24,2025-05-03,,8,687.21,0.19,4453.12,Shipped,No,Nagpur
SO00095,PRD0031,CUST0060,WH002,2025-05-27,2025-06-05,,35,3578.26,0.17,103948.45,Processing,No,Pune
SO00096,PRD0017,CUST0132,WH006,2025-10-30,2025-11-13,2025-11-17,52,898.52,0.0,46723.04,Delivered,No,Jaipur
SO00097,PRD0053,CUST0051,WH008,2025-10-15,2025-10-22,,79,2816.55,0.11,198031.63,Shipped,No,Surat
SO00098,PRD0079,CUST0046,WH006,2025-10-13,2025-10-26,,24,3243.13,0.16,65381.5,Cancelled,No,Jaipur
SO00099,PRD0003,CUST0100,WH003,2025-04-11,2025-04-18,,40,4021.49,0.05,152816.62,Cancelled,No,Lucknow
SO00100,PRD0019,CUST0040,WH004,2025-08-18,2025-08-21,,99,4716.38,0.12,410891.03,Cancelled,No,Lucknow
SO00101,PRD0089,CUST0168,WH003,2025-12-09,2025-12-23,2025-12-24,89,4237.75,0.07,350758.57,Delivered,No,Kochi
SO00102,PRD0039,CUST0129,WH004,2025-12-07,2025-12-08,,78,3144.28,0.17,203560.69,Shipped,No,Jaipur
SO00103,PRD0022,CUST0143,WH001,2025-05-07,2025-05-20,2025-05-24,46,1820.46,0.04,80391.51,Delivered,No,Kolkata
SO00104,PRD0079,CUST0182,WH007,2025-05-28,2025-06-05,,88,3243.13,0.11,254001.94,Shipped,No,Kanpur
SO00105,PRD0087,CUST0149,WH006,2025-06-13,2025-06-16,2025-06-21,14,2218.99,0.08,28580.59,Delivered,No,Kochi
SO00106,PRD0031,CUST0123,WH004,2026-03-01,2026-03-06,,9,3578.26,0.12,28339.82,Processing,No,Hyderabad
SO00107,PRD0034,CUST0140,WH005,2025-12-28,2026-01-04,2026-01-08,75,4238.6,0.07,295642.35,Delivered,No,Jaipur
SO00108,PRD0079,CUST0198,WH003,2025-06-19,2025-07-03,,61,3243.13,0.16,166177.98,Cancelled,No,Hyderabad
SO00109,PRD0083,CUST0193,WH002,2025-10-10,2025-10-16,,23,3433.07,0.07,73433.37,Processing,No,Nagpur
SO00110,PRD0014,CUST0062,WH001,2026-01-01,2026-01-03,,78,480.49,0.01,37103.44,Shipped,No,Nagpur
SO00111,PRD0026,CUST0027,WH005,2025-04-16,2025-04-23,,61,2796.29,0.11,151810.58,Processing,No,Lucknow
SO00112,PRD0035,CUST0084,WH004,2025-10-22,2025-10-30,,66,2218.25,0.03,142012.36,Processing,No,Ahmedabad
SO00113,PRD0066,CUST0074,WH007,2025-10-16,2025-10-17,,86,1485.58,0.01,126482.28,Shipped,No,Ahmedabad
SO00114,PRD0048,CUST0147,WH005,2025-07-27,2025-08-05,2025-08-06,28,2799.75,0.15,66634.05,Delivered,No,Lucknow
SO00115,PRD0099,CUST0022,WH003,2025-05-11,2025-05-23,2025-05-30,3,3950.54,0.03,11496.07,Delivered,No,Pune
SO00116,PRD0038,CUST0165,WH006,2025-05-29,2025-06-11,,39,1808.04,0.05,66987.88,Shipped,No,Bangalore
SO00117,PRD0067,CUST0069,WH008,2025-11-12,2025-11-26,,74,2944.43,0.17,180846.89,Shipped,No,Kanpur
SO00118,PRD0054,CUST0199,WH003,2026-03-01,2026-03-04,2026-03-11,37,3658.33,0.02,132651.05,Delivered,No,Hyderabad
SO00119,PRD0080,CUST0075,WH006,2025-08-18,2025-08-19,2025-08-23,87,202.98,0.12,15540.15,Delivered,No,Chennai
SO00120,PRD0015,CUST0180,WH003,2025-08-15,2025-08-21,,79,681.38,0.02,52752.44,Processing,No,Bangalore
SO00121,PRD0058,CUST0149,WH002,2025-10-18,2025-10-29,,23,706.89,0.11,14470.04,Cancelled,No,Kochi
SO00122,PRD0041,CUST0006,WH004,2025-12-02,2025-12-07,,34,4208.92,0.01,141672.25,Shipped,No,Hyderabad
SO00123,PRD0032,CUST0106,WH006,2025-04-17,2025-04-19,2025-04-25,20,762.23,0.11,13567.69,Delivered,No,Pune
SO00124,PRD0026,CUST0188,WH004,2025-11-30,2025-12-10,2025-12-12,56,2796.29,0.18,128405.64,Delivered,No,Lucknow
SO00125,PRD0015,CUST0169,WH005,2026-01-04,2026-01-14,2026-01-13,11,681.38,0.13,6520.81,Delivered,Yes,Mumbai
SO00126,PRD0054,CUST0194,WH005,2025-06-05,2025-06-06,2025-06-07,73,3658.33,0.16,224328.8,Delivered,No,Kochi
SO00127,PRD0049,CUST0080,WH007,2025-06-01,2025-06-13,2025-06-16,78,1070.46,0.19,67631.66,Delivered,No,Kolkata
SO00128,PRD0063,CUST0004,WH001,2025-08-09,2025-08-16,,56,4575.75,0.13,222930.54,Cancelled,No,Delhi
SO00129,PRD0099,CUST0021,WH005,2025-03-21,2025-03-26,2025-03-27,74,3950.54,0.19,236795.37,Delivered,No,Kolkata
SO00130,PRD0035,CUST0063,WH006,2025-09-02,2025-09-07,2025-09-13,87,2218.25,0.04,185268.24,Delivered,No,Kolkata
SO00131,PRD0022,CUST0124,WH008,2025-09-12,2025-09-20,2025-09-22,21,1820.46,0.11,34024.4,Delivered,No,Kanpur
SO00132,PRD0010,CUST0072,WH006,2025-03-29,2025-04-03,,32,2761.16,0.09,80404.98,Shipped,No,Chennai
SO00133,PRD0019,CUST0152,WH006,2025-06-26,2025-07-04,2025-07-06,81,4716.38,0.11,340003.83,Delivered,No,Nagpur
SO00134,PRD0075,CUST0118,WH005,2025-06-15,2025-06-28,2025-06-26,95,1534.55,0.05,138493.14,Delivered,Yes,Kanpur
SO00135,PRD0077,CUST0040,WH005,2026-01-19,2026-02-02,,23,645.7,0.17,12326.41,Cancelled,No,Lucknow
SO00136,PRD0074,CUST0197,WH008,2025-12-13,2025-12-21,2025-12-20,59,4189.13,0.12,217499.63,Delivered,Yes,Pune
SO00137,PRD0065,CUST0010,WH002,2025-09-10,2025-09-24,2025-09-28,21,4696.01,0.07,91713.08,Delivered,No,Lucknow
SO00138,PRD0081,CUST0011,WH002,2025-05-02,2025-05-16,2025-05-19,26,2414.08,0.03,60883.1,Delivered,No,Nagpur
SO00139,PRD0055,CUST0080,WH004,2025-06-04,2025-06-12,,78,1088.78,0.03,82377.09,Processing,No,Kolkata
SO00140,PRD0028,CUST0136,WH002,2026-01-04,2026-01-18,,82,3188.13,0.06,245741.06,Cancelled,No,Kanpur
SO00141,PRD0078,CUST0148,WH008,2025-04-21,2025-05-04,,66,3339.44,0.05,209382.89,Cancelled,No,Surat
SO00142,PRD0088,CUST0128,WH003,2026-03-08,2026-03-16,2026-03-20,72,3141.65,0.14,194530.97,Delivered,No,Bangalore
SO00143,PRD0072,CUST0185,WH008,2025-04-19,2025-05-02,,63,1668.38,0.12,92494.99,Cancelled,No,Hyderabad
SO00144,PRD0037,CUST0058,WH005,2025-05-17,2025-05-21,,66,1693.2,0.18,91635.98,Cancelled,No,Kanpur
SO00145,PRD0043,CUST0042,WH008,2025-06-10,2025-06-19,,35,4966.02,0.17,144262.88,Processing,No,Lucknow
SO00146,PRD0049,CUST0061,WH003,2025-07-19,2025-07-21,2025-07-27,56,1070.46,0.09,54550.64,Delivered,No,Chennai
SO00147,PRD0079,CUST0132,WH005,2026-01-20,2026-01-29,,62,3243.13,0.05,191020.36,Shipped,No,Jaipur
SO00148,PRD0100,CUST0114,WH006,2025-11-18,2025-12-01,,50,3938.86,0.18,161493.26,Processing,No,Coimbatore
SO00149,PRD0071,CUST0046,WH006,2025-07-20,2025-07-22,2025-07-24,3,687.21,0.09,1876.08,Delivered,No,Jaipur
SO00150,PRD0059,CUST0136,WH008,2025-12-05,2025-12-17,2025-12-24,49,2580.04,0.17,104930.23,Delivered,No,Kanpur
SO00151,PRD0091,CUST0040,WH003,2026-01-22,2026-02-04,,41,4316.09,0.04,169881.3,Shipped,No,Lucknow
SO00152,PRD0014,CUST0053,WH003,2025-08-27,2025-09-08,2025-09-07,96,480.49,0.06,43359.42,Delivered,Yes,Nagpur
SO00153,PRD0089,CUST0013,WH005,2025-04-27,2025-05-01,2025-05-07,7,4237.75,0.03,28774.32,Delivered,No,Kanpur
SO00154,PRD0038,CUST0179,WH001,2025-07-10,2025-07-15,2025-07-17,10,1808.04,0.14,15549.14,Delivered,No,Lucknow
SO00155,PRD0099,CUST0084,WH004,2026-01-14,2026-01-15,,14,3950.54,0.11,49223.73,Shipped,No,Ahmedabad
SO00156,PRD0004,CUST0195,WH004,2026-01-15,2026-01-18,,100,1617.34,0.16,135856.56,Processing,No,Nagpur
SO00157,PRD0046,CUST0199,WH007,2025-12-08,2025-12-12,,32,3056.69,0.09,89010.81,Cancelled,No,Hyderabad
SO00158,PRD0012,CUST0079,WH004,2025-05-22,2025-05-25,,47,4408.94,0.09,188570.36,Shipped,No,Delhi
SO00159,PRD0005,CUST0111,WH004,2026-02-19,2026-02-21,2026-02-28,51,1210.42,0.04,59262.16,Delivered,No,Pune
SO00160,PRD0022,CUST0020,WH004,2025-11-25,2025-12-01,2025-11-29,11,1820.46,0.12,17622.05,Delivered,Yes,Hyderabad
SO00161,PRD0067,CUST0131,WH008,2026-03-02,2026-03-08,2026-03-07,85,2944.43,0.02,245271.02,Delivered,Yes,Bangalore
SO00162,PRD0055,CUST0071,WH008,2025-12-25,2025-12-27,,42,1088.78,0.1,41155.88,Cancelled,No,Surat
SO00163,PRD0076,CUST0098,WH008,2025-07-31,2025-08-06,,57,2008.76,0.17,95034.44,Shipped,No,Hyderabad
SO00164,PRD0071,CUST0184,WH007,2026-03-11,2026-03-13,2026-03-18,8,687.21,0.14,4728.0,Delivered,No,Pune
SO00165,PRD0090,CUST0177,WH005,2025-03-18,2025-03-30,,92,3139.3,0.01,285927.44,Cancelled,No,Lucknow
SO00166,PRD0032,CUST0047,WH003,2026-03-01,2026-03-12,,60,762.23,0.06,42989.77,Cancelled,No,Kochi
SO00167,PRD0011,CUST0043,WH002,2025-08-20,2025-08-24,2025-08-29,47,1875.71,0.08,81105.7,Delivered,No,Lucknow
SO00168,PRD0079,CUST0161,WH002,2025-11-15,2025-11-16,,30,3243.13,0.0,97293.9,Shipped,No,Kolkata
SO00169,PRD0072,CUST0066,WH003,2025-06-18,2025-06-20,,90,1668.38,0.2,120123.36,Cancelled,No,Kanpur
SO00170,PRD0022,CUST0023,WH005,2026-02-09,2026-02-23,,28,1820.46,0.09,46385.32,Shipped,No,Bangalore
SO00171,PRD0057,CUST0009,WH003,2025-07-12,2025-07-16,,62,4906.51,0.16,255531.04,Processing,No,Lucknow
SO00172,PRD0029,CUST0021,WH008,2025-05-06,2025-05-17,2025-05-16,1,958.78,0.02,939.6,Delivered,Yes,Kolkata
SO00173,PRD0034,CUST0053,WH008,2025-03-12,2025-03-17,,22,4238.6,0.08,85789.26,Processing,No,Nagpur
SO00174,PRD0017,CUST0046,WH002,2025-03-15,2025-03-17,,79,898.52,0.17,58915.96,Processing,No,Jaipur
SO00175,PRD0023,CUST0101,WH005,2025-06-14,2025-06-28,2025-06-30,2,1623.61,0.2,2597.78,Delivered,No,Chennai
SO00176,PRD0085,CUST0015,WH007,2026-01-02,2026-01-09,2026-01-10,68,4254.94,0.08,266189.05,Delivered,No,Kolkata
SO00177,PRD0034,CUST0114,WH006,2025-12-01,2025-12-06,,76,4238.6,0.09,293141.58,Cancelled,No,Coimbatore
SO00178,PRD0065,CUST0097,WH001,2025-12-28,2026-01-04,2026-01-04,84,4696.01,0.06,370796.95,Delivered,Yes,Lucknow
SO00179,PRD0097,CUST0014,WH008,2025-03-22,2025-03-24,2025-03-25,44,1109.0,0.11,43428.44,Delivered,No,Mumbai
SO00180,PRD0061,CUST0033,WH007,2025-08-11,2025-08-12,2025-08-17,11,145.59,0.01,1585.48,Delivered,No,Kolkata
SO00181,PRD0090,CUST0184,WH006,2026-01-17,2026-01-26,,4,3139.3,0.2,10045.76,Cancelled,No,Pune
SO00182,PRD0096,CUST0171,WH007,2025-06-20,2025-06-21,2025-06-24,7,4666.13,0.02,32009.65,Delivered,No,Lucknow
SO00183,PRD0025,CUST0116,WH004,2025-04-22,2025-04-28,,32,2111.07,0.18,55394.48,Cancelled,No,Hyderabad
SO00184,PRD0013,CUST0115,WH003,2025-03-31,2025-04-12,2025-04-19,42,4659.9,0.12,172229.9,Delivered,No,Pune
SO00185,PRD0010,CUST0029,WH006,2025-08-22,2025-09-05,,53,2761.16,0.01,144878.07,Cancelled,No,Kanpur
SO00186,PRD0016,CUST0012,WH001,2025-12-15,2025-12-18,,52,3671.73,0.12,168018.36,Shipped,No,Chennai
SO00187,PRD0060,CUST0186,WH001,2026-01-28,2026-02-01,,36,4529.66,0.16,136976.92,Cancelled,No,Nagpur
SO00188,PRD0074,CUST0181,WH002,2025-07-12,2025-07-25,,63,4189.13,0.12,232245.37,Shipped,No,Delhi
SO00189,PRD0055,CUST0138,WH005,2025-03-31,2025-04-07,2025-04-10,33,1088.78,0.18,29462.39,Delivered,No,Kochi
SO00190,PRD0042,CUST0002,WH001,2025-05-20,2025-06-03,2025-06-07,20,3184.88,0.06,59875.74,Delivered,No,Nagpur
SO00191,PRD0082,CUST0171,WH002,2026-03-06,2026-03-12,2026-03-14,22,3161.39,0.04,66768.56,Delivered,No,Lucknow
SO00192,PRD0002,CUST0071,WH002,2026-02-03,2026-02-10,2026-02-08,50,4323.12,0.12,190217.28,Delivered,Yes,Surat
SO00193,PRD0040,CUST0015,WH004,2025-05-08,2025-05-13,,96,3489.93,0.14,288128.62,Cancelled,No,Kolkata
SO00194,PRD0057,CUST0141,WH004,2025-08-27,2025-09-03,2025-09-08,44,4906.51,0.17,179185.75,Delivered,No,Ahmedabad
SO00195,PRD0060,CUST0200,WH008,2025-06-13,2025-06-15,,67,4529.66,0.03,294382.6,Cancelled,No,Lucknow
SO00196,PRD0090,CUST0121,WH007,2025-05-12,2025-05-25,,14,3139.3,0.16,36918.17,Shipped,No,Delhi
SO00197,PRD0051,CUST0062,WH006,2025-05-09,2025-05-14,,72,2110.12,0.17,126100.77,Processing,No,Nagpur
SO00198,PRD0060,CUST0163,WH008,2025-05-12,2025-05-14,,8,4529.66,0.07,33700.67,Shipped,No,Kolkata
SO00199,PRD0075,CUST0003,WH004,2025-08-15,2025-08-24,2025-08-23,73,1534.55,0.1,100819.94,Delivered,Yes,Surat
SO00200,PRD0031,CUST0104,WH003,2026-03-11,2026-03-24,2026-03-27,63,3578.26,0.01,223176.08,Delivered,No,Mumbai
SO00201,PRD0004,CUST0015,WH001,2026-02-01,2026-02-04,,63,1617.34,0.15,86608.56,Shipped,No,Kolkata
SO00202,PRD0073,CUST0063,WH002,2025-10-09,2025-10-16,2025-10-14,34,4643.43,0.05,149982.79,Delivered,Yes,Kolkata
SO00203,PRD0096,CUST0076,WH003,2025-12-16,2025-12-21,2025-12-23,36,4666.13,0.15,142783.58,Delivered,No,Nagpur
