PO_ID,Product_ID,Supplier_ID,Warehouse_ID,Order_Date,Expected_Delivery,Actual_Delivery,Quantity_Ordered,Quantity_Received,Unit_Cost,Total_Cost,Status,On_Time
PO00021,PRD0090,SUP012,WH006,2025-12-17,2026-01-04,,467,0,739.72,345449.24,Pending,No
PO00022,PRD0084,SUP009,WH003,2025-10-17,2025-10-19,2025-10-16,477,477,2807.14,1339005.78,Delivered,Yes
PO00023,PRD0030,SUP026,WH002,2025-11-08,2025-11-20,2025-11-22,442,442,2713.26,1199260.92,Delivered,No
PO00024,PRD0010,SUP029,WH005,2025-06-06,2025-07-03,,350,0,1036.03,362610.5,Cancelled,No
PO00025,PRD0063,SUP019,WH003,2025-12-21,2026-01-17,,100,0,2969.08,296908.0,In Transit,No
PO00026,PRD0006,SUP030,WH001,2025-05-17,2025-06-04,,417,0,743.32,309964.44,In Transit,No
PO00027,PRD0002,SUP002,WH003,2025-08-24,2025-09-02,2025-09-06,13,13,2900.83,37710.79,Delivered,No
PO00028,PRD0020,SUP003,WH005,2025-09-05,2025-10-05,,100,0,1027.3,102730.0,Cancelled,No
PO00029,PRD0089,SUP016,WH007,2025-05-10,2025-06-02,,489,0,1421.88,695299.32,Cancelled,No
PO00030,PRD0036,SUP009,WH007,2025-04-03,2025-04-27,2025-05-01,156,156,57.3,8938.8,Delivered,No
PO00031,PRD0023,SUP018,WH007,2026-03-06,2026-03-27,,432,0,49.91,21561.12,Pending,No
PO00032,PRD0028,SUP005,WH008,2025-03-19,2025-03-29,2025-04-05,239,239,2119.03,506448.17,Delivered,No
PO00033,PRD0036,SUP008,WH006,2025-06-27,2025-07-21,,277,0,57.3,15872.1,Pending,No
PO00034,PRD0080,SUP029,WH006,2025-10-17,2025-11-14,,283,0,625.58,177039.14,Cancelled,No
PO00035,PRD0028,SUP026,WH003,2025-06-11,2025-06-21,,325,0,2119.03,688684.75,Pending,No
PO00036,PRD0086,SUP027,WH007,2026-02-13,2026-02-25,2026-02-23,128,128,572.8,73318.4,Delivered,Yes
PO00037,PRD0024,SUP013,WH005,2025-06-30,2025-07-18,2025-07-22,126,126,1188.96,149808.96,Delivered,No
PO00038,PRD0098,SUP021,WH001,2025-07-23,2025-08-12,,70,0,152.7,10689.0,Pending,No
PO00039,PRD0011,SUP003,WH004,2025-11-05,2025-12-04,2025-12-03,88,88,323.44,28462.72,Delivered,Yes
PO00040,PRD0007,SUP017,WH006,2025-11-17,2025-12-05,,411,0,52.12,21421.32,Pending,No
PO00041,PRD0100,SUP007,WH001,2025-08-09,2025-08-21,2025-08-20,79,79,1632.62,128976.98,Delivered,Yes
PO00042,PRD0079,SUP008,WH003,2025-05-30,2025-06-07,,242,0,1909.7,462147.4,Pending,No
PO00043,PRD0067,SUP017,WH008,2025-08-19,2025-09-03,,357,0,1268.84,452975.88,Cancelled,No
PO00044,PRD0091,SUP003,WH002,2025-12-06,2025-12-11,2025-12-20,177,177,2899.75,513255.75,Delivered,No
PO00045,PRD0053,SUP002,WH001,2026-01-14,2026-02-03,2026-01-31,67,67,1661.97,111351.99,Delivered,Yes
PO00046,PRD0008,SUP022,WH006,2025-12-10,2026-01-06,2026-01-12,353,353,2355.62,831533.86,Delivered,No
PO00047,PRD0068,SUP011,WH007,2026-01-21,2026-02-10,,137,0,971.53,133099.61,Cancelled,No
PO00048,PRD0030,SUP009,WH006,2025-06-27,2025-07-09,,360,0,2713.26,976773.6,Pending,No
PO00049,PRD0083,SUP006,WH006,2025-06-21,2025-07-02,2025-07-06,404,404,846.03,341796.12,Delivered,No
PO00050,PRD0037,SUP013,WH002,2025-06-02,2025-06-15,2025-06-16,130,130,69.93,9090.9,Delivered,No
PO00051,PRD0015,SUP015,WH005,2025-10-01,2025-10-10,,53,0,2085.39,110525.67,Cancelled,No
PO00052,PRD0008,SUP029,WH003,2025-06-08,2025-07-05,,284,0,2355.62,668996.08,Pending,No
PO00053,PRD0023,SUP030,WH004,2025-06-04,2025-06-25,,413,0,49.91,20612.83,In Transit,No
PO00054,PRD0004,SUP015,WH003,2026-01-08,2026-01-13,2026-01-15,317,317,449.26,142415.42,Delivered,No
PO00055,PRD0015,SUP028,WH002,2025-04-11,2025-04-20,2025-04-24,289,289,2085.39,602677.71,Delivered,No
PO00056,PRD0069,SUP022,WH005,2026-01-28,2026-02-26,2026-02-23,253,253,779.99,197337.47,Delivered,Yes
PO00057,PRD0029,SUP004,WH003,2025-05-15,2025-06-11,,435,0,626.39,272479.65,Cancelled,No
PO00058,PRD0033,SUP013,WH006,2025-10-03,2025-10-16,,98,0,1454.58,142548.84,Pending,No
PO00059,PRD0039,SUP028,WH001,2026-02-26,2026-03-02,,148,0,1471.23,217742.04,Cancelled,No
PO00060,PRD0070,SUP007,WH001,2025-04-15,2025-05-04,,120,0,2070.78,248493.6,In Transit,No
PO00061,PRD0077,SUP023,WH006,2025-04-18,2025-04-26,,220,0,116.88,25713.6,In Transit,No
PO00062,PRD0096,SUP021,WH006,2025-10-19,2025-11-09,,437,0,610.31,266705.47,Pending,No
PO00063,PRD0016,SUP008,WH005,2025-08-30,2025-09-25,,133,0,1265.94,168370.02,Pending,No
PO00064,PRD0074,SUP004,WH007,2025-10-08,2025-10-25,,441,0,2168.22,956185.02,In Transit,No
PO00065,PRD0084,SUP018,WH007,2025-09-21,2025-09-23,2025-09-25,336,336,2807.14,943199.04,Delivered,No
PO00066,PRD0080,SUP025,WH005,2025-12-03,2025-12-31,,197,0,625.58,123239.26,Cancelled,No
PO00067,PRD0067,SUP028,WH003,2025-03-14,2025-03-29,,18,0,1268.84,22839.12,Cancelled,No
PO00068,PRD0089,SUP021,WH005,2026-02-02,2026-02-25,2026-03-07,480,480,1421.88,682502.4,Delivered,No
PO00069,PRD0058,SUP013,WH007,2025-12-10,2025-12-15,2025-12-20,134,134,1401.08,187744.72,Delivered,No
PO00070,PRD0069,SUP017,WH007,2025-06-25,2025-07-24,,262,0,779.99,204357.38,Pending,No
PO00071,PRD0042,SUP003,WH002,2025-09-10,2025-09-30,2025-09-27,16,16,1556.28,24900.48,Delivered,Yes
PO00072,PRD0023,SUP013,WH007,2026-03-11,2026-04-01,,265,0,49.91,13226.15,Cancelled,No
PO00073,PRD0078,SUP020,WH001,2026-03-01,2026-03-04,,247,0,2250.79,555945.13,Cancelled,No
PO00074,PRD0086,SUP023,WH008,2025-04-06,2025-04-18,2025-04-24,307,307,572.8,175849.6,Delivered,No
PO00075,PRD0097,SUP024,WH002,2025-12-11,2026-01-09,2026-01-17,106,106,837.49,88773.94,Delivered,No
PO00076,PRD0004,SUP018,WH003,2025-08-18,2025-08-23,2025-08-27,414,414,449.26,185993.64,Delivered,No
PO00077,PRD0092,SUP005,WH004,2025-07-17,2025-08-14,2025-08-12,332,332,2903.22,963869.04,Delivered,Yes
PO00078,PRD0094,SUP008,WH002,2026-01-26,2026-02-17,2026-02-26,126,126,2127.86,268110.36,Delivered,No
PO00079,PRD0045,SUP022,WH002,2026-01-12,2026-02-05,2026-02-11,371,371,1391.77,516346.67,Delivered,No
PO00080,PRD0097,SUP008,WH004,2025-10-14,2025-11-12,,11,0,837.49,9212.39,Pending,No
PO00081,PRD0035,SUP015,WH005,2025-04-24,2025-05-12,2025-05-12,117,117,127.11,14871.87,Delivered,Yes
PO00082,PRD0056,SUP012,WH004,2026-01-06,2026-02-01,2026-01-30,422,422,1257.83,530804.26,Delivered,Yes
PO00083,PRD0025,SUP001,WH003,2025-10-28,2025-10-30,2025-11-06,225,225,996.98,224320.5,Delivered,No
PO00084,PRD0014,SUP013,WH004,2025-08-18,2025-08-23,,225,0,1383.81,311357.25,Pending,No
PO00085,PRD0058,SUP014,WH006,2025-11-03,2025-11-08,2025-11-05,69,69,1401.08,96674.52,Delivered,Yes
PO00086,PRD0006,SUP016,WH005,2026-01-30,2026-02-17,2026-02-15,169,169,743.32,125621.08,Delivered,Yes
PO00087,PRD0036,SUP021,WH007,2025-11-04,2025-11-28,,25,0,57.3,1432.5,In Transit,No
PO00088,PRD0047,SUP024,WH003,2025-09-15,2025-09-28,2025-10-04,356,356,1216.29,432999.24,Delivered,No
PO00089,PRD0077,SUP004,WH001,2025-11-24,2025-12-02,2025-12-02,177,177,116.88,20687.76,Delivered,Yes
PO00090,PRD0032,SUP023,WH003,2025-09-06,2025-09-28,2025-09-25,444,444,936.72,415903.68,Delivered,Yes
PO00091,PRD0066,SUP030,WH004,2025-03-19,2025-03-26,,95,0,2272.03,215842.85,In Transit,No
PO00092,PRD0019,SUP025,WH006,2025-04-21,2025-04-26,2025-05-05,206,206,2174.08,447860.48,Delivered,No
PO00093,PRD0070,SUP009,WH002,2025-07-09,2025-07-28,2025-08-04,300,300,2070.78,621234.0,Delivered,No
PO00094,PRD0065,SUP008,WH006,2025-11-02,2025-11-09,2025-11-07,208,208,2751.46,572303.68,Delivered,Yes
PO00095,PRD0086,SUP026,WH005,2026-02-13,2026-02-25,,151,0,572.8,86492.8,Cancelled,No
PO00096,PRD0092,SUP002,WH008,2025-10-23,2025-11-20,2025-11-29,207,207,2903.22,600966.54,Delivered,No
PO00097,PRD0078,SUP004,WH006,2025-03-18,2025-03-21,,438,0,2250.79,985846.02,In Transit,No
PO00098,PRD0033,SUP008,WH008,2025-03-30,2025-04-12,2025-04-12,69,69,1454.58,100366.02,Delivered,Yes
PO00099,PRD0082,SUP010,WH007,2026-01-19,2026-01-29,,58,0,1332.12,77262.96,In Transit,No
PO00100,PRD0051,SUP010,WH006,2025-07-16,2025-07-29,2025-07-26,472,472,1685.98,795782.56,Delivered,Yes
PO00101,PRD0068,SUP008,WH007,2025-04-20,2025-05-10,,498,0,971.53,483821.94,Pending,No
PO00102,PRD0029,SUP005,WH004,2025-10-22,2025-11-18,2025-11-18,63,63,626.39,39462.57,Delivered,Yes
PO00103,PRD0020,SUP001,WH006,2025-12-11,2026-01-10,2026-01-08,253,253,1027.3,259906.9,Delivered,Yes
PO00104,PRD0077,SUP002,WH008,2026-01-14,2026-01-22,2026-01-30,239,239,116.88,27934.32,Delivered,No
PO00105,PRD0021,SUP009,WH006,2025-12-30,2026-01-14,2026-01-20,416,416,2012.98,837399.68,Delivered,No
PO00106,PRD0041,SUP007,WH005,2025-06-19,2025-07-07,,161,0,1652.87,266112.07,Pending,No
PO00107,PRD0025,SUP027,WH001,2026-01-22,2026-01-24,2026-01-28,481,481,996.98,479547.38,Delivered,No
PO00108,PRD0031,SUP005,WH005,2025-12-28,2026-01-08,,138,0,1424.24,196545.12,Cancelled,No
PO00109,PRD0036,SUP002,WH004,2025-05-26,2025-06-19,2025-06-21,400,400,57.3,22920.0,Delivered,No
PO00110,PRD0032,SUP009,WH007,2025-07-21,2025-08-12,2025-08-18,350,350,936.72,327852.0,Delivered,No
PO00111,PRD0017,SUP030,WH004,2025-06-07,2025-06-22,,303,0,1123.59,340447.77,Cancelled,No
PO00112,PRD0057,SUP014,WH004,2025-11-14,2025-11-20,2025-11-17,293,293,2681.04,785544.72,Delivered,Yes
PO00113,PRD0084,SUP030,WH002,2026-03-06,2026-03-08,2026-03-14,468,468,2807.14,1313741.52,Delivered,No
PO00114,PRD0088,SUP012,WH002,2025-05-14,2025-05-23,,15,0,2801.65,42024.75,Cancelled,No
PO00115,PRD0079,SUP018,WH001,2025-03-30,2025-04-07,2025-04-17,434,434,1909.7,828809.8,Delivered,No
PO00116,PRD0027,SUP013,WH005,2025-08-21,2025-09-04,2025-09-07,404,404,1718.7,694354.8,Delivered,No
PO00117,PRD0017,SUP012,WH002,2025-06-08,2025-06-23,,418,0,1123.59,469660.62,In Transit,No
PO00118,PRD0065,SUP024,WH003,2025-04-23,2025-04-30,2025-05-07,193,193,2751.46,531031.78,Delivered,No
PO00119,PRD0069,SUP018,WH004,2025-10-07,2025-11-05,2025-11-14,223,223,779.99,173937.77,Delivered,No
PO00120,PRD0049,SUP018,WH002,2025-08-30,2025-09-08,2025-09-10,316,316,1141.55,360729.8,Delivered,No
PO00121,PRD0006,SUP028,WH001,2025-04-10,2025-04-28,2025-04-26,251,251,743.32,186573.32,Delivered,Yes
PO00122,PRD0045,SUP025,WH002,2025-11-10,2025-12-04,,132,0,1391.77,183713.64,In Transit,No
PO00123,PRD0046,SUP030,WH004,2025-10-28,2025-11-23,2025-11-22,145,145,1508.0,218660.0,Delivered,Yes
PO00124,PRD0077,SUP017,WH001,2025-12-31,2026-01-08,2026-01-08,343,343,116.88,40089.84,Delivered,Yes
PO00125,PRD0071,SUP012,WH006,2025-07-29,2025-08-27,2025-08-26,370,370,2137.24,790778.8,Delivered,Yes
PO00126,PRD0079,SUP016,WH005,2025-06-01,2025-06-09,2025-06-18,485,485,1909.7,926204.5,Delivered,No
PO00127,PRD0019,SUP028,WH004,2025-06-25,2025-06-30,,411,0,2174.08,893546.88,Pending,No
PO00128,PRD0074,SUP024,WH001,2025-11-08,2025-11-25,,255,0,2168.22,552896.1,In Transit,No
PO00129,PRD0052,SUP025,WH006,2025-12-10,2026-01-02,2025-12-30,213,213,1853.67,394831.71,Delivered,Yes
PO00130,PRD0026,SUP027,WH007,2025-04-15,2025-05-15,,177,0,2873.06,508531.62,In Transit,No
PO00131,PRD0039,SUP025,WH004,2026-01-01,2026-01-05,,226,0,1471.23,332497.98,Cancelled,No
PO00132,PRD0095,SUP023,WH002,2025-10-05,2025-10-14,2025-10-13,160,160,16.55,2648.0,Delivered,Yes
PO00133,PRD0046,SUP026,WH001,2025-09-28,2025-10-24,,95,0,1508.0,143260.0,Pending,No
PO00134,PRD0017,SUP014,WH005,2025-05-03,2025-05-18,2025-05-20,462,462,1123.59,519098.58,Delivered,No
PO00135,PRD0098,SUP015,WH008,2025-05-24,2025-06-13,,235,0,152.7,35884.5,In Transit,No
PO00136,PRD0075,SUP030,WH001,2026-01-26,2026-02-06,,157,0,413.94,64988.58,In Transit,No
PO00137,PRD0067,SUP002,WH001,2025-08-25,2025-09-09,2025-09-16,164,164,1268.84,208089.76,Delivered,No
PO00138,PRD0085,SUP024,WH006,2025-10-26,2025-11-20,,32,0,2122.87,67931.84,Pending,No
PO00139,PRD0067,SUP017,WH004,2025-04-09,2025-04-24,2025-04-28,53,53,1268.84,67248.52,Delivered,No
PO00140,PRD0054,SUP015,WH007,2026-02-01,2026-03-02,,182,0,1829.56,332979.92,In Transit,No
PO00141,PRD0032,SUP008,WH008,2025-11-08,2025-11-30,2025-11-29,75,75,936.72,70254.0,Delivered,Yes
PO00142,PRD0038,SUP007,WH004,2025-10-11,2025-10-31,,263,0,1297.98,341368.74,Cancelled,No
PO00143,PRD0055,SUP003,WH004,2025-08-18,2025-08-25,,329,0,1387.13,456365.77,Cancelled,No
PO00144,PRD0031,SUP020,WH008,2025-07-31,2025-08-11,,443,0,1424.24,630938.32,Pending,No
PO00145,PRD0065,SUP028,WH005,2025-04-15,2025-04-22,,365,0,2751.46,1004282.9,In Transit,No
PO00146,PRD0032,SUP021,WH004,2025-10-02,2025-10-24,,403,0,936.72,377498.16,Cancelled,No
PO00147,PRD0091,SUP011,WH007,2025-07-26,2025-07-31,2025-07-30,211,211,2899.75,611847.25,Delivered,Yes
PO00148,PRD0079,SUP029,WH005,2026-02-20,2026-02-28,2026-03-02,279,279,1909.7,532806.3,Delivered,No
PO00149,PRD0046,SUP005,WH008,2025-05-09,2025-06-04,,493,0,1508.0,743444.0,In Transit,No
PO00150,PRD0071,SUP020,WH008,2025-10-20,2025-11-18,,329,0,2137.24,703151.96,Pending,No
PO00151,PRD0035,SUP030,WH004,2025-07-22,2025-08-09,,475,0,127.11,60377.25,Cancelled,No
PO00152,PRD0002,SUP001,WH006,2026-02-25,2026-03-06,,314,0,2900.83,910860.62,Pending,No
PO00153,PRD0061,SUP028,WH007,2025-06-25,2025-07-02,,69,0,1126.5,77728.5,Cancelled,No
PO00154,PRD0021,SUP005,WH006,2025-09-06,2025-09-21,,427,0,2012.98,859542.46,In Transit,No
PO00155,PRD0064,SUP002,WH004,2025-04-21,2025-05-01,,293,0,1504.29,440756.97,Cancelled,No
PO00156,PRD0071,SUP020,WH003,2025-08-15,2025-09-13,2025-09-11,254,254,2137.24,542858.96,Delivered,Yes
PO00157,PRD0034,SUP001,WH005,2026-01-25,2026-01-26,2026-01-28,453,453,536.19,242894.07,Delivered,No
PO00158,PRD0067,SUP010,WH005,2025-03-31,2025-04-15,2025-04-13,44,44,1268.84,55828.96,Delivered,Yes
PO00159,PRD0024,SUP029,WH007,2026-01-01,2026-01-19,2026-01-18,380,380,1188.96,451804.8,Delivered,Yes
PO00160,PRD0045,SUP014,WH005,2026-01-05,2026-01-29,2026-01-27,90,90,1391.77,125259.3,Delivered,Yes
PO00161,PRD0039,SUP026,WH004,2026-01-17,2026-01-21,2026-01-29,422,422,1471.23,620859.06,Delivered,No
PO00162,PRD0082,SUP002,WH001,2025-06-13,2025-06-23,,169,0,1332.12,225128.28,Pending,No
PO00163,PRD0049,SUP003,WH004,2025-12-20,2025-12-29,2025-12-30,223,223,1141.55,254565.65,Delivered,No
PO00164,PRD0056,SUP029,WH001,2025-09-16,2025-10-12,,121,0,1257.83,152197.43,In Transit,No
PO00165,PRD0024,SUP016,WH002,2025-12-27,2026-01-14,2026-01-21,488,488,1188.96,580212.48,Delivered,No
PO00166,PRD0090,SUP026,WH003,2026-03-11,2026-03-29,2026-04-02,48,48,739.72,35506.56,Delivered,No
PO00167,PRD0079,SUP019,WH003,2025-04-18,2025-04-26,,250,0,1909.7,477425.0,Cancelled,No
PO00168,PRD0085,SUP005,WH007,2025-12-17,2026-01-11,,145,0,2122.87,307816.15,Cancelled,No
PO00169,PRD0015,SUP015,WH005,2025-09-29,2025-10-08,2025-10-14,466,466,2085.39,971791.74,Delivered,No
PO00170,PRD0088,SUP028,WH003,2025-08-07,2025-08-16,2025-08-23,219,219,2801.65,613561.35,Delivered,No
PO00171,PRD0046,SUP014,WH008,2026-02-24,2026-03-22,,315,0,1508.0,475020.0,In Transit,No
PO00172,PRD0022,SUP018,WH008,2025-09-02,2025-09-03,2025-09-04,473,473,225.82,106812.86,Delivered,No
PO00173,PRD0070,SUP027,WH003,2025-10-04,2025-10-23,2025-10-30,37,37,2070.78,76618.86,Delivered,No
PO00174,PRD0019,SUP015,WH004,2025-05-24,2025-05-29,,190,0,2174.08,413075.2,Pending,No
PO00175,PRD0054,SUP016,WH004,2025-05-10,2025-06-08,,389,0,1829.56,711698.84,In Transit,No
PO00176,PRD0025,SUP013,WH008,2026-03-11,2026-03-13,2026-03-13,140,140,996.98,139577.2,Delivered,Yes
PO00177,PRD0094,SUP025,WH003,2025-09-02,2025-09-24,2025-09-22,342,342,2127.86,727728.12,Delivered,Yes
PO00178,PRD0060,SUP019,WH004,2025-08-09,2025-09-08,2025-09-12,216,216,1205.03,260286.48,Delivered,No
PO00179,PRD0071,SUP026,WH001,2026-02-06,2026-03-07,2026-03-11,24,24,2137.24,51293.76,Delivered,No
PO00180,PRD0034,SUP017,WH008,2025-07-01,2025-07-02,,63,0,536.19,33779.97,In Transit,No
PO00181,PRD0080,SUP018,WH006,2026-02-20,2026-03-20,2026-03-27,458,458,625.58,286515.64,Delivered,No
PO00182,PRD0025,SUP006,WH003,2025-05-07,2025-05-09,2025-05-07,63,63,996.98,62809.74,Delivered,Yes
PO00183,PRD0055,SUP010,WH003,2026-02-22,2026-03-01,,74,0,1387.13,102647.62,Cancelled,No
PO00184,PRD0038,SUP028,WH005,2025-12-17,2026-01-06,,119,0,1297.98,154459.62,In Transit,No
PO00185,PRD0099,SUP013,WH004,2025-11-26,2025-12-24,,123,0,381.78,46958.94,Pending,No
PO00186,PRD0031,SUP015,WH004,2026-01-29,2026-02-09,2026-02-16,497,497,1424.24,707847.28,Delivered,No
PO00187,PRD0044,SUP027,WH008,2025-11-26,2025-12-22,,333,0,1525.07,507848.31,Pending,No
PO00188,PRD0078,SUP029,WH002,2025-03-23,2025-03-26,,54,0,2250.79,121542.66,Cancelled,No
PO00189,PRD0012,SUP019,WH003,2025-09-09,2025-09-30,,93,0,124.51,11579.43,In Transit,No
PO00190,PRD0018,SUP015,WH004,2025-06-30,2025-07-12,2025-07-12,172,172,1556.92,267790.24,Delivered,Yes
PO00191,PRD0043,SUP002,WH007,2025-08-03,2025-08-06,,310,0,1744.63,540835.3,In Transit,No
PO00192,PRD0081,SUP013,WH002,2025-07-26,2025-08-04,,193,0,1645.19,317521.67,In Transit,No
PO00193,PRD0035,SUP017,WH002,2025-08-05,2025-08-23,,142,0,127.11,18049.62,In Transit,No
PO00194,PRD0016,SUP008,WH002,2025-03-28,2025-04-23,2025-04-20,42,42,1265.94,53169.48,Delivered,Yes
PO00195,PRD0048,SUP014,WH003,2025-09-29,2025-10-12,,42,0,2618.68,109984.56,Pending,No
PO00196,PRD0036,SUP018,WH004,2026-01-29,2026-02-22,,406,0,57.3,23263.8,Cancelled,No
PO00197,PRD0085,SUP001,WH002,2025-10-06,2025-10-31,,486,0,2122.87,1031714.82,Cancelled,No
PO00198,PRD0076,SUP011,WH007,2025-11-27,2025-12-02,,476,0,1480.66,704794.16,Cancelled,No
PO00199,PRD0066,SUP011,WH004,2025-12-17,2025-12-24,2025-12-25,448,448,2272.03,1017869.44,Delivered,No
PO00200,PRD0016,SUP006,WH005,2025-05-20,2025-06-15,2025-06-24,214,214,1265.94,270911.16,Delivered,No
PO00201,PRD0055,SUP027,WH008,2025-04-29,2025-05-06,,39,0,1387.13,54098.07,Cancelled,No
PO00202,PRD0027,SUP004,WH008,2025-09-23,2025-10-07,,467,0,1718.7,802632.9,Cancelled,No
PO00203,PRD0048,SUP009,WH005,2025-11-19,2025-12-02,,293,0,2618.68,767273.24,In Transit,No
PO00204,PRD0009,SUP001,WH002,2025-09-18,2025-09-21,2025-10-01,158,158,2752.7,434926.6,Delivered,No
PO00205,PRD0037,SUP001,WH008,2025-11-21,2025-12-04,2025-12-02,225,225,69.93,15734.25,Delivered,Yes
PO00206,PRD0099,SUP012,WH002,2025-08-20,2025-09-17,2025-09-17,148,148,381.78,56503.44,Delivered,Yes
PO00207,PRD0068,SUP022,WH003,2025-08-16,2025-09-05,,98,0,971.53,95209.94,Cancelled,No
PO00208,PRD0097,SUP006,WH003,2026-02-13,2026-03-14,2026-03-21,372,372,837.49,311546.28,Delivered,No
PO00209,PRD0006,SUP014,WH003,2026-01-05,2026-01-23,2026-02-02,72,72,743.32,53519.04,Delivered,No
PO00210,PRD0039,SUP013,WH003,2025-03-12,2025-03-16,2025-03-20,172,172,1471.23,253051.56,Delivered,No
PO00211,PRD0089,SUP014,WH007,2025-05-09,2025-06-01,2025-06-08,212,212,1421.88,301438.56,Delivered,No
PO00212,PRD0042,SUP025,WH005,2025-03-28,2025-04-17,,83,0,1556.28,129171.24,In Transit,No
PO00213,PRD0058,SUP010,WH003,2025-12-10,2025-12-15,2025-12-24,280,280,1401.08,392302.4,Delivered,No
PO00214,PRD0030,SUP020,WH005,2025-11-03,2025-11-15,2025-11-14,127,127,2713.26,344584.02,Delivered,Yes
PO00215,PRD0035,SUP014,WH008,2025-07-16,2025-08-03,2025-08-10,227,227,127.11,28853.97,Delivered,No
PO00216,PRD0076,SUP027,WH005,2025-08-07,2025-08-12,2025-08-11,390,390,1480.66,577457.4,Delivered,Yes
PO00217,PRD0027,SUP029,WH002,2026-03-04,2026-03-18,2026-03-27,50,50,1718.7,85935.0,Delivered,No
PO00218,PRD0028,SUP027,WH006,2025-08-01,2025-08-11,,481,0,2119.03,1019253.43,In Transit,No
PO00219,PRD0042,SUP013,WH003,2025-09-25,2025-10-15,,143,0,1556.28,222548.04,Pending,No
PO00220,PRD0092,SUP003,WH001,2025-11-24,2025-12-22,,38,0,2903.22,110322.36,In Transit,No
PO00221,PRD0093,SUP007,WH002,2025-10-12,2025-10-16,2025-10-21,423,423,1516.4,641437.2,Delivered,No
PO00222,PRD0078,SUP022,WH005,2026-02-26,2026-03-01,,424,0,2250.79,954334.96,Pending,No
PO00223,PRD0097,SUP010,WH006,2025-07-02,2025-07-31,2025-07-29,331,331,837.49,277209.19,Delivered,Yes
PO00224,PRD0049,SUP009,WH005,2025-08-05,2025-08-14,,183,0,1141.55,208903.65,Cancelled,No
PO00225,PRD0031,SUP026,WH007,2026-01-15,2026-01-26,,86,0,1424.24,122484.64,Pending,No
PO00226,PRD0039,SUP010,WH004,2025-06-18,2025-06-22,2025-06-23,480,480,1471.23,706190.4,Delivered,No
PO00227,PRD0090,SUP015,WH008,2026-01-22,2026-02-09,,226,0,739.72,167176.72,Cancelled,No
PO00228,PRD0031,SUP003,WH006,2025-09-08,2025-09-19,,173,0,1424.24,246393.52,In Transit,No
PO00229,PRD0028,SUP008,WH008,2026-03-03,2026-03-13,2026-03-11,442,442,2119.03,936611.26,Delivered,Yes
PO00230,PRD0090,SUP029,WH003,2025-06-25,2025-07-13,,156,0,739.72,115396.32,In Transit,No
PO00231,PRD0076,SUP016,WH008,2025-11-25,2025-11-30,,141,0,1480.66,208773.06,In Transit,No
PO00232,PRD0080,SUP030,WH004,2025-10-11,2025-11-08,2025-11-08,399,399,625.58,249606.42,Delivered,Yes
PO00233,PRD0008,SUP013,WH004,2025-06-19,2025-07-16,2025-07-14,494,494,2355.62,1163676.28,Delivered,Yes
